Γαιηόχου	*gaiho/xou	Γαιήοχος	*gaih/oxos	n-s---mg-
ἐσσύμενός	e)ssu/meno/s	σεύω	seu/w	v-srpemn-
ἐστι	e)sti	εἰμί	ei)mi/	v3spia---
ἐστιν	e)stin	εἰμί	ei)mi/	v3spia---
ἐστραμμέναι	e)stramme/nai	στράπτω	stra/ptw	v-prpefn-
ἐστραμμέναι	e)stramme/nai	στράπτω	stra/ptw	v-prpefv-
ἐστραμμέναι	e)stramme/nai	στράπτω	stra/ptw	v-srpefd-
ἐστραμμέναι	e)stramme/nai	στρέφω	stre/fw	v-prpefn-
ἐστραμμέναι	e)stramme/nai	στρέφω	stre/fw	v-prpefv-
ἐστραμμέναι	e)stramme/nai	στρέφω	stre/fw	v-srpefd-
ἐστήρικτο	e)sth/rikto	στηρίζω	sthri/zw	v3slie---
ἐστί	e)sti/	εἰμί	ei)mi/	v3spia---
ἐτανύσσατο	e)tanu/ssato	τανύω	tanu/w	v3saim---
ἐτεόν	e)teo/n	ἐτεός	e)teo/s	a-s---ma-
ἐτεόν	e)teo/n	ἐτεός	e)teo/s	a-s---nn-
ἐτεόν	e)teo/n	ἐτεός	e)teo/s	a-s---nv-
ἐτεόν	e)teo/n	ἐτεός	e)teo/s	a-s---na-
ἐτραπέτην	e)trape/thn	τρέπω	tre/pw	v3daia---
ἐτύχθη	e)tu/xqh	τεύχω	teu/xw	v3saip---
ἐυκραίρῃσιν	e)ukrai/rh|sin	εὔκραιρος	eu)/krairos	a-p---fd-
ἐυπλοκάμῳ	e)uploka/mw|	ἐυπλόκαμος	e)uplo/kamos	n-s---md-
ἐυπλοκάμῳ	e)uploka/mw|	ἐυπλόκαμος	e)uplo/kamos	n-s---fd-
ἐυπλοκάμῳ	e)uploka/mw|	ἐυπλόκαμος	e)uplo/kamos	n-s---nd-
ἐυπλοκάμῳ	e)uploka/mw|	εὐπλόκαμος	eu)plo/kamos	n-s---md-
ἐυπλοκάμῳ	e)uploka/mw|	εὐπλόκαμος	eu)plo/kamos	n-s---fd-
ἐυπλοκάμῳ	e)uploka/mw|	εὐπλόκαμος	eu)plo/kamos	n-s---nd-
ἐυπλόκαμος	e)uplo/kamos	ἐυπλόκαμος	e)uplo/kamos	n-s---mn-
ἐυπλόκαμος	e)uplo/kamos	ἐυπλόκαμος	e)uplo/kamos	n-s---fn-
ἐυπλόκαμος	e)uplo/kamos	εὐπλόκαμος	eu)plo/kamos	n-s---mn-
ἐυπλόκαμος	e)uplo/kamos	εὐπλόκαμος	eu)plo/kamos	n-s---fn-
ἐφράσατο	e)fra/sato	φράζω	fra/zw	v3saim---
ἐφίλησε	e)fi/lhse	φιλέω	file/w	v3saia---
ἐφίλησεν	e)fi/lhsen	φιλέω	file/w	v3saia---
ἐφόρει	e)fo/rei	ἐφοράω	e)fora/w	v2spma---
ἐφόρει	e)fo/rei	ἐφοράω	e)fora/w	v3siia---
ἐφόρει	e)fo/rei	ἐποράω	e)pora/w	v2spma---
ἐφόρει	e)fo/rei	ἐποράω	e)pora/w	v3siia---
ἐφόρει	e)fo/rei	φορέω	fore/w	v3siia---
ἐφύτευσε	e)fu/teuse	φυτεύω	futeu/w	v3saia---
ἐέργων	e)e/rgwn	ἔργω1	e)/rgw1	v-sppamn-
ἐόντα	e)o/nta	εἰμί	ei)mi/	v-sppama-
ἐόντα	e)o/nta	εἰμί	ei)mi/	v-pppann-
ἐόντα	e)o/nta	εἰμί	ei)mi/	v-pppanv-
ἐόντα	e)o/nta	εἰμί	ei)mi/	v-pppana-
ἐόντι	e)o/nti	εἰμί	ei)mi/	v-sppamd-
ἐόντι	e)o/nti	εἰμί	ei)mi/	v-sppand-
ἐόντων	e)o/ntwn	εἰμί	ei)mi/	v-pppamg-
ἐόντων	e)o/ntwn	εἰμί	ei)mi/	v-pppang-
ἐύσκοπος	e)u/skopos	εὔσκοπος	eu)/skopos	n-s---mn-
ἐύσκοπος	e)u/skopos	εὔσκοπος	eu)/skopos	n-s---fn-
ἐώθει	e)w/qei	ἔθω	e)/qw	v3slia---
ἐώθει	e)w/qei	ὠθέω	w)qe/w	v3siia---
ἐών	e)w/n	εἰμί	ei)mi/	v-sppamn-
ἑαυτόν	e(auto/n	ἑαυτοῦ	e(autou=	n-s---ma-
ἑκατηβόλος	e(kathbo/los	ἑκατηβόλος	e(kathbo/los	n-s---mn-
ἑκατηβόλος	e(kathbo/los	ἑκατηβόλος	e(kathbo/los	n-s---fn-
ἑκηβόλον	e(khbo/lon	ἑκηβόλος	e(khbo/los	n-s---ma-
ἑκηβόλον	e(khbo/lon	ἑκηβόλος	e(khbo/los	n-s---fa-
ἑκηβόλον	e(khbo/lon	ἑκηβόλος	e(khbo/los	n-s---nn-
ἑκηβόλον	e(khbo/lon	ἑκηβόλος	e(khbo/los	n-s---nv-
ἑκηβόλον	e(khbo/lon	ἑκηβόλος	e(khbo/los	n-s---na-
ἑκηβόλου	e(khbo/lou	ἑκηβόλος	e(khbo/los	n-s---mg-
ἑκηβόλου	e(khbo/lou	ἑκηβόλος	e(khbo/los	n-s---fg-
ἑκηβόλου	e(khbo/lou	ἑκηβόλος	e(khbo/los	n-s---ng-
ἑκάεργος	e(ka/ergos	Ἑκάεργος	*(eka/ergos	n-s---mn-
ἑκάεργος	e(ka/ergos	Ἑκάεργος	*(eka/ergos	n-s---fn-
ἑκάστῃ	e(ka/sth|	ἕκαστος	e(/kastos	a-s---fd-
ἑκών	e(kw/n	ἑκών	e(kw/n	a-s---mn-
ἑλικτάς	e(likta/s	ἑλικτός	e(likto/s	a-p---fa-
ἑλέσθαι	e(le/sqai	αἱρέω	ai(re/w	v--anm---
ἑλών	e(lw/n	αἱρέω	ai(re/w	v-sapamn-
ἑπτά	e(pta/	ἑπτά	e(pta/	m--------
ἑπτά	e(pta/	ἑπτάς	e(pta/s	n-s---fv-
ἑρσήεντα	e(rsh/enta	ἑρσήεις	e(rsh/eis	n-p---nn-
ἑρσήεντα	e(rsh/enta	ἑρσήεις	e(rsh/eis	n-p---nv-
ἑρσήεντα	e(rsh/enta	ἑρσήεις	e(rsh/eis	n-p---na-
ἑρσήεντα	e(rsh/enta	ἑρσήεις	e(rsh/eis	n-s---ma-
ἑσπέριος	e(spe/rios	ἑσπέριος	e(spe/rios	a-s---mn-
ἑσπέριος	e(spe/rios	ἑσπέριος	e(spe/rios	n-s---mn-
ἑσπέριος	e(spe/rios	ἑσπέριος	e(spe/rios	n-s---fn-
ἑταιρείῃ	e(tairei/h|	ἑταιρεία	e(tairei/a	n-s---fd-
ἑταιρείῃ	e(tairei/h|	ἑταιρεῖος	e(tairei=os	a-s---fd-
ἑταίρη	e(tai/rh	ἑταίρα	e(tai/ra	n-s---fn-
ἑταίρη	e(tai/rh	ἑταίρα	e(tai/ra	n-s---fv-
ἑταίρη	e(tai/rh	ἑταιρέω	e(taire/w	v2spma---
ἑταίρη	e(tai/rh	ἑταιρέω	e(taire/w	v3siia---
ἑταίρην	e(tai/rhn	ἑταίρα	e(tai/ra	n-s---fa-
ἑταῖρε	e(tai=re	ἑταῖρος	e(tai=ros	n-s---mv-
ἑτέρης	e(te/rhs	ἕτερος	e(/teros	a-s---fg-
ἑτέρης	e(te/rhs	ἑτερέω	e(tere/w	v2siia---
ἑτέρωθεν	e(te/rwqen	ἑτέρωθεν	e(te/rwqen	d--------
ἑῇσι	e(h=|si	ἑός	e(o/s	a-p---fd-
ἑῇσι	e(h=|si	ἵημι	i(/hmi	v3spsa---
ἔβαινε	e)/baine	βαίνω	bai/nw	v3siia---
ἔβαν	e)/ban	βαίνω	bai/nw	v3paia---
ἔβαν	e)/ban	βαίνω	bai/nw	v3paia---
ἔβαν	e)/ban	βαίνω	bai/nw	v1saia---
ἔβαν	e)/ban	βαίνω	bai/nw	v1saia---
ἔβην	e)/bhn	βαίνω	bai/nw	v3paia---
ἔβην	e)/bhn	βαίνω	bai/nw	v1saia---
ἔγνω	e)/gnw	γιγνώσκω	gignw/skw	v3saia---
ἔγωγε	e)/gwge	ἐγώ	e)gw/	p-s---mn-
ἔγωγε	e)/gwge	ἐγώ	e)gw/	p-s---mv-
ἔγωγε	e)/gwge	ἐγώ	e)gw/	p-s---fn-
ἔγωγε	e)/gwge	ἐγώ	e)gw/	p-s---fv-
ἔδεκτο	e)/dekto	δέχομαι	de/xomai	v3saim---
ἔδοξα	e)/doca	δοκέω	doke/w	v1saia---
ἔδυνε	e)/dune	δύω2	du/w2	v3saia---
ἔδυνε	e)/dune	δύω2	du/w2	v3siia---
ἔδυνεν	e)/dunen	δύω2	du/w2	v3saia---
ἔδυνεν	e)/dunen	δύω2	du/w2	v3siia---
ἔδωκε	e)/dwke	δίδωμι	di/dwmi	v3saia---
ἔειπας	e)/eipas	εἶπον	ei)=pon	v2saia---
ἔειπε	e)/eipe	εἶπον	ei)=pon	v3saia---
ἔειπε	e)/eipe	εἶπον	ei)=pon	v3saia---
ἔειπε	e)/eipe	εἶπον	ei)=pon	v3saia---
ἔθελ’	e)/qel'	ἐθέλω	e)qe/lw	v2spma---
ἔθελ’	e)/qel'	ἐθέλω	e)qe/lw	v3siia---
ἔθελ’	e)/qel'	ἐθέλω	e)qe/lw	v3siia---
ἔκειτο	e)/keito	κεῖμαι	kei=mai	v3siie---
ἔκλεψα	e)/kleya	ἐκλέπω	e)kle/pw	v1saia---
ἔκλεψα	e)/kleya	κλέπτω	kle/ptw	v1saia---
ἔκλυεν	e)/kluen	ἐκλύω	e)klu/w	v3siia---
ἔκλυεν	e)/kluen	ἐκλύω	e)klu/w	v3siia---
ἔκλυεν	e)/kluen	κλύω	klu/w	v3saia---
ἔκλυεν	e)/kluen	κλύω	klu/w	v3siia---
ἔλασσα	e)/lassa	ἐλαύνω	e)lau/nw	v1saia---
ἔλασσα	e)/lassa	λάζω	la/zw	v1saia---
ἔλειφθεν	e)/leifqen	λείπω	lei/pw	v3paip---
ἔληθε	e)/lhqe	λανθάνω	lanqa/nw	v3siia---
ἔλθῃ	e)/lqh|	ἔρχομαι	e)/rxomai	v2sasm---
ἔλθῃ	e)/lqh|	ἔρχομαι	e)/rxomai	v3sasa---
ἔλθῃ	e)/lqh|	ἔρχομαι	e)/rxomai	v3sasa---
ἔλπομαι	e)/lpomai	ἔλπω	e)/lpw	v1spie---
ἔμελλεν	e)/mellen	μέλλω	me/llw	v3siia---
ἔμπαλιν	e)/mpalin	ἔμπαλιν	e)/mpalin	d--------
ἔνδον	e)/ndon	ἔνδον	e)/ndon	d--------
ἔνδον	e)/ndon	ἐνδίδωμι	e)ndi/dwmi	v3paia---
ἔνδον	e)/ndon	ἐνδίδωμι	e)ndi/dwmi	v3paia---
ἔνθα	e)/nqa	ἔνθα	e)/nqa	d--------
ἔνθεν	e)/nqen	ἔνθεν	e)/nqen	d--------
ἔνθεν	e)/nqen	ἔρχομαι	e)/rxomai	v3saia---
ἔνθ’	e)/nq'	ἔνθα	e)/nqa	d--------
ἔνθ’	e)/nq'	ἔρχομαι	e)/rxomai	v2sama---
ἔνθ’	e)/nq'	ἔρχομαι	e)/rxomai	v3saia---
ἔνθ’	e)/nq'	εἰμί	ei)mi/	v3ppia---
ἔνθ’	e)/nq'	εἰμί	ei)mi/	v3spia---
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	d--------
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	n-s---ma-
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	n-s---fa-
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	n-s---nn-
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	n-s---nv-
ἔννυχον	e)/nnuxon	ἔννυχος	e)/nnuxos	n-s---na-
ἔξοδον	e)/codon	ἔξοδοσ1	e)/codos1	n-s---fa-
ἔξοδον	e)/codon	ἔξοδοσ2	e)/codos2	n-s---ma-
ἔξοδον	e)/codon	ἔξοδοσ2	e)/codos2	n-s---fa-
ἔξοδον	e)/codon	ἔξοδοσ2	e)/codos2	n-s---nn-
ἔξοδον	e)/codon	ἔξοδοσ2	e)/codos2	n-s---nv-
ἔξοδον	e)/codon	ἔξοδοσ2	e)/codos2	n-s---na-
ἔοικα	e)/oika	ἔοικα	e)/oika	v1sria---
ἔπεα	e)/pea	ἔπος	e)/pos	n-p---nn-
ἔπεα	e)/pea	ἔπος	e)/pos	n-p---nv-
ἔπεα	e)/pea	ἔπος	e)/pos	n-p---na-
ἔπειθε	e)/peiqe	πείθω	pei/qw	v3siia---
ἔπειτα	e)/peita	ἔπειτα	e)/peita	d--------
ἔπεσσι	e)/pessi	ἔπειμι1	e)/peimi1	v2spia---
ἔπεσσι	e)/pessi	ἔπος	e)/pos	n-p---nd-
ἔπορεν	e)/poren	πόρω	po/rw	v3saia---
ἔπος	e)/pos	ἔπος	e)/pos	n-s---nn-
ἔπος	e)/pos	ἔπος	e)/pos	n-s---nv-
ἔπος	e)/pos	ἔπος	e)/pos	n-s---na-
ἔργα	e)/rga	ἔργον	e)/rgon	n-p---nn-
ἔργα	e)/rga	ἔργον	e)/rgon	n-p---nv-
ἔργα	e)/rga	ἔργον	e)/rgon	n-p---na-
ἔργον	e)/rgon	ἔργνυμι	e)/rgnumi	v-sppamv-
ἔργον	e)/rgon	ἔργνυμι	e)/rgnumi	v-sppann-
ἔργον	e)/rgon	ἔργνυμι	e)/rgnumi	v-sppanv-
ἔργον	e)/rgon	ἔργνυμι	e)/rgnumi	v-sppana-
ἔργον	e)/rgon	ἔργον	e)/rgon	n-s---nn-
ἔργον	e)/rgon	ἔργον	e)/rgon	n-s---nv-
ἔργον	e)/rgon	ἔργον	e)/rgon	n-s---na-
ἔργων	e)/rgwn	ἔργνυμι	e)/rgnumi	v-sppamn-
ἔργων	e)/rgwn	ἔργον	e)/rgon	n-p---ng-
ἔργῳ	e)/rgw|	ἔργον	e)/rgon	n-s---nd-
ἔρδοις	e)/rdois	ἔρδω	e)/rdw	v2spoa---
ἔριθον	e)/riqon	ἔριθος	e)/riqos	n-s---ma-
ἔρος	e)/ros	ἔροσ1	e)/ros1	n-s---mn-
ἔρος	e)/ros	ἔροσ2	e)/ros2	n-s---nn-
ἔρος	e)/ros	ἔροσ2	e)/ros2	n-s---nv-
ἔρος	e)/ros	ἔροσ2	e)/ros2	n-s---na-
ἔρρε	e)/rre	ἔρρω	e)/rrw	v2spma---
ἔρρε	e)/rre	ἔρρω	e)/rrw	v3siia---
ἔρχῃ	e)/rxh|	ἔρχομαι	e)/rxomai	v2spse---
ἔρχῃ	e)/rxh|	ἔρχομαι	e)/rxomai	v2spie---
ἔρωτα	e)/rwta	ἔρως	e)/rws	n-s---ma-
ἔσεσθαι	e)/sesqai	εἰμί	ei)mi/	v--fnm---
ἔσκαπτον	e)/skapton	σκάπτω	ska/ptw	v3piia---
ἔσκαπτον	e)/skapton	σκάπτω	ska/ptw	v1siia---
ἔσπασε	e)/spase	σπάω	spa/w	v3saia---
ἔσσεαι	e)/sseai	ἔσσομαι	e)/ssomai	v2spie---
ἔσσεαι	e)/sseai	εἰμί	ei)mi/	v2sfim---
ἔσσῃ	e)/ssh|	ἔσσομαι	e)/ssomai	v2spse---
ἔσσῃ	e)/ssh|	ἔσσομαι	e)/ssomai	v2spie---
ἔσσῃ	e)/ssh|	εἰμί	ei)mi/	v2sfim---
ἔσται	e)/stai	εἰμί	ei)mi/	v3sfim---
ἔστησαν	e)/sthsan	ἵστημι	i(/sthmi	v3paia---
ἔστησαν	e)/sthsan	ἵστημι	i(/sthmi	v3paia---
ἔσχισε	e)/sxise	σχίζω	sxi/zw	v3saia---
ἔσω	e)/sw	ἔσω	e)/sw	r--------
ἔτειρε	e)/teire	τείρω	tei/rw	v3siia---
ἔτι	e)/ti	ἔτι	e)/ti	d--------
ἔφατ’	e)/fat'	φημί	fhmi/	v3siie---
ἔφατ’	e)/fat'	φημί	fhmi/	v2piia---
ἔφη	e)/fh	φημί	fhmi/	v3siia---
ἔφρασε	e)/frase	φράζω	fra/zw	v3saia---
ἔχε	e)/xe	ἔχω	e)/xw	v2spma---
ἔχε	e)/xe	ἔχω	e)/xw	v3siia---
ἔχει	e)/xei	ἔχις	e)/xis	n-d---mn-
ἔχει	e)/xei	ἔχις	e)/xis	n-d---mv-
ἔχει	e)/xei	ἔχις	e)/xis	n-d---ma-
ἔχει	e)/xei	ἔχις	e)/xis	n-s---md-
ἔχει	e)/xei	ἔχις	e)/xis	n-s---md-
ἔχει	e)/xei	ἔχω	e)/xw	v2spie---
ἔχει	e)/xei	ἔχω	e)/xw	v3spia---
ἔχει	e)/xei	χάω	xa/w	v3siia---
ἔχει	e)/xei	χέω	xe/w	v3siia---
ἔχειν	e)/xein	ἔχω	e)/xw	v--pna---
ἔχεις	e)/xeis	ἔχις	e)/xis	n-p---mn-
ἔχεις	e)/xeis	ἔχις	e)/xis	n-p---mv-
ἔχεις	e)/xeis	ἔχις	e)/xis	n-p---mn-
ἔχεις	e)/xeis	ἔχις	e)/xis	n-p---ma-
ἔχεις	e)/xeis	ἔχω	e)/xw	v2spia---
ἔχεις	e)/xeis	χάω	xa/w	v2siia---
ἔχεις	e)/xeis	χέω	xe/w	v2siia---
ἔχεν	e)/xen	ἔχω	e)/xw	v--pna---
ἔχεν	e)/xen	ἔχω	e)/xw	v3siia---
ἔχεσκον	e)/xeskon	ἔχω	e)/xw	v3piia---
ἔχεσκον	e)/xeskon	ἔχω	e)/xw	v1siia---
ἔχμα	e)/xma	ἔχμα	e)/xma	n-s---nn-
ἔχμα	e)/xma	ἔχμα	e)/xma	n-s---nv-
ἔχμα	e)/xma	ἔχμα	e)/xma	n-s---na-
ἔχοι	e)/xoi	ἔχω	e)/xw	v3spoa---
ἔχοντα	e)/xonta	ἔχω	e)/xw	v-pppann-
ἔχοντα	e)/xonta	ἔχω	e)/xw	v-pppanv-
ἔχοντα	e)/xonta	ἔχω	e)/xw	v-pppana-
ἔχοντα	e)/xonta	ἔχω	e)/xw	v-sppama-
ἔχοντας	e)/xontas	ἔχω	e)/xw	v-pppama-
ἔχοντες	e)/xontes	ἔχω	e)/xw	v-pppamn-
ἔχοντες	e)/xontes	ἔχω	e)/xw	v-pppamv-
ἔχουσα	e)/xousa	ἔχω	e)/xw	v-sppafn-
ἔχουσα	e)/xousa	ἔχω	e)/xw	v-sppafv-
ἔχουσι	e)/xousi	ἔχω	e)/xw	v-pppamd-
ἔχουσι	e)/xousi	ἔχω	e)/xw	v-pppand-
ἔχουσι	e)/xousi	ἔχω	e)/xw	v3ppia---
ἔχουσιν	e)/xousin	ἔχω	e)/xw	v-pppamd-
ἔχουσιν	e)/xousin	ἔχω	e)/xw	v-pppand-
ἔχουσιν	e)/xousin	ἔχω	e)/xw	v3ppia---
ἔχων	e)/xwn	ἔχω	e)/xw	v-sppamn-
ἔχων	e)/xwn	χάω	xa/w	v3piia---
ἔχων	e)/xwn	χάω	xa/w	v1siia---
ἔχων	e)/xwn	χόω	xo/w	v3piia---
ἔχων	e)/xwn	χόω	xo/w	v1siia---
ἔχ’	e)/x'	ἔχις	e)/xis	n-s---mv-
ἔχ’	e)/x'	ἔχω	e)/xw	v2spma---
ἔχ’	e)/x'	ἔχω	e)/xw	v3siia---
ἔχ’	e)/x'	ἐκάς	e)ka/s	n-s---fv-
ἕζετο	e(/zeto	ἕζομαι	e(/zomai	v3saim---
ἕζετο	e(/zeto	ἕζομαι	e(/zomai	v3siie---
ἕκαστα	e(/kasta	ἕκαστος	e(/kastos	a-p---nn-
ἕκαστα	e(/kasta	ἕκαστος	e(/kastos	a-p---nv-
ἕκαστα	e(/kasta	ἕκαστος	e(/kastos	a-p---na-
ἕκαστον	e(/kaston	ἕκαστος	e(/kastos	a-s---ma-
ἕκαστον	e(/kaston	ἕκαστος	e(/kastos	a-s---nn-
ἕκαστον	e(/kaston	ἕκαστος	e(/kastos	a-s---nv-
ἕκαστον	e(/kaston	ἕκαστος	e(/kastos	a-s---na-
ἕκαστος	e(/kastos	ἕκαστος	e(/kastos	a-s---mn-
ἕλικας	e(/likas	ἕλιξ1	e(/lic1	n-p---ma-
ἕλικας	e(/likas	ἕλιξ1	e(/lic1	n-p---fa-
ἕλικας	e(/likas	ἕλιξ2	e(/lic2	n-p---fa-
ἕνα	e(/na	ἕνος	e(/nos	a-p---nn-
ἕνα	e(/na	ἕνος	e(/nos	a-p---nv-
ἕνα	e(/na	ἕνος	e(/nos	a-p---na-
ἕνα	e(/na	ἕνος	e(/nos	a-d---fn-
ἕνα	e(/na	ἕνος	e(/nos	a-d---fv-
ἕνα	e(/na	ἕνος	e(/nos	a-d---fa-
ἕνα	e(/na	ἕνος	e(/nos	a-s---fn-
ἕνα	e(/na	ἕνος	e(/nos	a-s---fv-
ἕνα	e(/na	εἷς	ei(=s	n-s---ma-
ἕνεχ’	e(/nex'	ἕνεκα	e(/neka	r--------
ἕξεις	e(/ceis	ἕξις	e(/cis	n-p---fn-
ἕξεις	e(/ceis	ἕξις	e(/cis	n-p---fv-
ἕξεις	e(/ceis	ἕξις	e(/cis	n-p---fn-
ἕξεις	e(/ceis	ἕξις	e(/cis	n-p---fa-
ἕξεις	e(/ceis	ἔχω	e)/xw	v2sfia---
ἕποντο	e(/ponto	ἕπομαι	e(/pomai	v3piie---
ἕρκεος	e(/rkeos	ἕρκος	e(/rkos	n-s---ng-
ἕσπετο	e(/speto	ἕπομαι	e(/pomai	v3saim---
ἕσσο	e(/sso	ἕννυμι	e(/nnumi	v3slip---
Ἑκηβόλος	*(ekhbo/los	ἑκηβόλος	e(khbo/los	n-s---mn-
Ἑκηβόλος	*(ekhbo/los	ἑκηβόλος	e(khbo/los	n-s---fn-
Ἑκηβόλῳ	*(ekhbo/lw|	ἑκηβόλος	e(khbo/los	n-s---md-
Ἑκηβόλῳ	*(ekhbo/lw|	ἑκηβόλος	e(khbo/los	n-s---fd-
Ἑκηβόλῳ	*(ekhbo/lw|	ἑκηβόλος	e(khbo/los	n-s---nd-
Ἑκάεργε	*(eka/erge	Ἑκάεργος	*(eka/ergos	n-s---mv-
Ἑκάεργε	*(eka/erge	Ἑκάεργος	*(eka/ergos	n-s---mv-
Ἑκάεργε	*(eka/erge	Ἑκάεργος	*(eka/ergos	n-s---fv-
Ἑκάεργε	*(eka/erge	Ἑκαέργος	*(ekae/rgos	n-s---mv-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---ma-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---ma-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---fa-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---nn-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---nv-
Ἑκάεργον	*(eka/ergon	Ἑκάεργος	*(eka/ergos	n-s---na-
Ἑκάεργον	*(eka/ergon	Ἑκαέργος	*(ekae/rgos	n-s---ma-
Ἑρμέω	*(erme/w	Ἑρμῆς	*(ermh=s	n-s---mg-
Ἑρμῆν	*(ermh=n	Ἑρμῆς	*(ermh=s	n-s---ma-
Ἑρμῆς	*(ermh=s	Ἑρμῆς	*(ermh=s	n-s---mn-
Ἑρμῆς	*(ermh=s	ἑρμάζω	e(rma/zw	v2sfia---
ἠγαθέην	h)gaqe/hn	ἠγάθεος	h)ga/qeos	a-s---fa-
ἠγαθέοιο	h)gaqe/oio	ἠγάθεος	h)ga/qeos	a-s---mg-
ἠγαθέοιο	h)gaqe/oio	ἠγάθεος	h)ga/qeos	a-s---ng-
ἠγερέθοντο	h)gere/qonto	ἠγερέθομαι	h)gere/qomai	v3piie---
ἠγερέθοντο	h)gere/qonto	ἠγερέθομαι	h)gere/qomai	v3piie---
ἠγνοίησε	h)gnoi/hse	ἀγνοέω	a)gnoe/w	v3saia---
ἠδέ	h)de/	ἠδέ	h)de/	c--------
ἠδ’	h)d'	ἠδέ	h)de/	c--------
ἠελίοιο	h)eli/oio	ἥλιος	h(/lios	n-s---mg-
ἠελίοιο	h)eli/oio	ἠέλιος	h)e/lios	n-s---mg-
ἠερόεν	h)ero/en	ἠερόεις	h)ero/eis	n-s---mv-
ἠερόεν	h)ero/en	ἠερόεις	h)ero/eis	n-s---nn-
ἠερόεν	h)ero/en	ἠερόεις	h)ero/eis	n-s---nv-
ἠερόεντα	h)ero/enta	ἠερόεις	h)ero/eis	n-p---nn-
ἠερόεντα	h)ero/enta	ἠερόεις	h)ero/eis	n-p---nv-
ἠερόεντα	h)ero/enta	ἠερόεις	h)ero/eis	n-p---na-
ἠερόεντα	h)ero/enta	ἠερόεις	h)ero/eis	n-s---ma-
ἠερόεντι	h)ero/enti	ἠερόεις	h)ero/eis	n-s---md-
ἠερόεντι	h)ero/enti	ἠερόεις	h)ero/eis	n-s---nd-
ἠλεύαθ’	h)leu/aq'	ἀλέομαι	a)le/omai	v3saim---
ἠλιβάτῳ	h)liba/tw|	ἠλίβατος	h)li/batos	n-s---md-
ἠλιβάτῳ	h)liba/tw|	ἠλίβατος	h)li/batos	n-s---fd-
ἠλιβάτῳ	h)liba/tw|	ἠλίβατος	h)li/batos	n-s---nd-
ἠμαθόεντα	h)maqo/enta	ἠμαθόεις	h)maqo/eis	n-p---nn-
ἠμαθόεντα	h)maqo/enta	ἠμαθόεις	h)maqo/eis	n-p---nv-
ἠμαθόεντα	h)maqo/enta	ἠμαθόεις	h)maqo/eis	n-p---na-
ἠμαθόεντα	h)maqo/enta	ἠμαθόεις	h)maqo/eis	n-s---ma-
ἠπεροπευτά	h)peropeuta/	ἠπεροπευτής	h)peropeuth/s	n-d---mn-
ἠπεροπευτά	h)peropeuta/	ἠπεροπευτής	h)peropeuth/s	n-d---mv-
ἠπεροπευτά	h)peropeuta/	ἠπεροπευτής	h)peropeuth/s	n-d---ma-
ἠπεροπευτά	h)peropeuta/	ἠπεροπευτής	h)peropeuth/s	n-s---mv-
ἠπεροπευτά	h)peropeuta/	ἠπεροπευτής	h)peropeuth/s	n-s---mn-
ἠπεροπεύει	h)peropeu/ei	ἠπεροπεύω	h)peropeu/w	v2spie---
ἠπεροπεύει	h)peropeu/ei	ἠπεροπεύω	h)peropeu/w	v3spia---
ἠπείλησε	h)pei/lhse	ἀπειλέω	a)peile/w	v3saia---
ἠπείλησε	h)pei/lhse	ἀπειλέω2	a)peile/w2	v3saia---
ἠπείλησε	h)pei/lhse	ἐπειλέω	e)peile/w	v3saia---
ἠριγένεια	h)rige/neia	ἠριγένεια	h)rige/neia	n-s---fn-
ἠριγένεια	h)rige/neia	ἠριγένεια	h)rige/neia	n-s---fv-
ἠριγένεια	h)rige/neia	ἠριγένειον	h)rige/neion	n-p---nn-
ἠριγένεια	h)rige/neia	ἠριγένειον	h)rige/neion	n-p---nv-
ἠριγένεια	h)rige/neia	ἠριγένειον	h)rige/neion	n-p---na-
ἠράσσατο	h)ra/ssato	ἀράζω	a)ra/zw	v3saim---
ἠράσσατο	h)ra/ssato	ἔραμαι	e)/ramai	v3saim---
ἠέ	h)e/	ἤ1	h)/1	c--------
ἠέ	h)e/	ἠέ1	h)e/1	c--------
ἠέλιον	h)e/lion	ἥλιος	h(/lios	n-s---ma-
ἠέλιον	h)e/lion	ἠέλιος	h)e/lios	n-s---ma-
ἠέλιος	h)e/lios	ἥλιος	h(/lios	n-s---mn-
ἠέλιος	h)e/lios	ἠέλιος	h)e/lios	n-s---mn-
ἠύς	h)u/s	ἐύς	e)u/s	n-s---mn-
ἠύς	h)u/s	ἐύς	e)u/s	n-s---fn-
ἠύτε	h)u/te	ἠύτε	h)u/te	g--------
ἠύτ’	h)u/t'	ἠύτε	h)u/te	g--------
