Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
ἀργύριον	a)rgu/rion	ἀργύριον	a)rgu/rion	n-s---nv-
ἀργύριον	a)rgu/rion	ἀργύριον	a)rgu/rion	n-s---na-
ἀρθείς	a)rqei/s	ἀραρίσκω	a)rari/skw	v-sappmn-
ἀρθείς	a)rqei/s	ἀραρίσκω	a)rari/skw	v-sappmv-
ἀρθείς	a)rqei/s	αἴρω	ai)/rw	v-sappmn-
ἀρθείς	a)rqei/s	αἴρω	ai)/rw	v-sappmv-
ἀριθμοῦσι	a)riqmou=si	ἀριθμέω	a)riqme/w	v-pppamd-
ἀριθμοῦσι	a)riqmou=si	ἀριθμέω	a)riqme/w	v-pppand-
ἀριθμοῦσι	a)riqmou=si	ἀριθμέω	a)riqme/w	v3ppia---
ἀριστήσετε	a)risth/sete	ἀριστάω	a)rista/w	v2pasa---
ἀριστήσετε	a)risth/sete	ἀριστάω	a)rista/w	v2pfia---
ἀριστήσετε	a)risth/sete	ἀριστάω	a)rista/w	v2ptia---
ἀρνός	a)rno/s	ἀρνός	a)rno/s	n-s---mg-
ἀρνός	a)rno/s	ἀρνός	a)rno/s	n-s---fg-
ἀρτοπώλιδος	a)rtopw/lidos	ἀρτόπωλις	a)rto/pwlis	n-s---fg-
ἀρτίως	a)rti/ws	ἄρτιος	a)/rtios	x--------
ἀρτίως	a)rti/ws	ἄρτιος	a)/rtios	a-p---ma-
ἀρυστίχους	a)rusti/xous	ἀρύστιχος	a)ru/stixos	n-p---ma-
ἀρχαίαν	a)rxai/an	ἀρχαῖος	a)rxai=os	a-s---fa-
ἀρχαῖα	a)rxai=a	ἀρχαῖος	a)rxai=os	a-p---nn-
ἀρχαῖα	a)rxai=a	ἀρχαῖος	a)rxai=os	a-p---nv-
ἀρχαῖα	a)rxai=a	ἀρχαῖος	a)rxai=os	a-p---na-
ἀρχαῖς	a)rxai=s	ἀρχή	a)rxh/	n-p---fd-
ἀρχαῖά	a)rxai=a/	ἀρχαῖος	a)rxai=os	a-p---nn-
ἀρχαῖά	a)rxai=a/	ἀρχαῖος	a)rxai=os	a-p---nv-
ἀρχαῖά	a)rxai=a/	ἀρχαῖος	a)rxai=os	a-p---na-
ἀρχή	a)rxh/	ἀρχή	a)rxh/	n-s---fn-
ἀρχή	a)rxh/	ἀρχή	a)rxh/	n-s---fv-
ἀρχήν	a)rxh/n	ἀρχή	a)rxh/	n-s---fa-
ἀρχήν	a)rxh/n	ἀρχήν	a)rxh/n	d--------
ἀρχόμενος	a)rxo/menos	ἄρχω	a)/rxw	v-sppemn-
ἀρχόντων	a)rxo/ntwn	ἄρχω	a)/rxw	v-pppamg-
ἀρχόντων	a)rxo/ntwn	ἄρχω	a)/rxw	v-pppang-
ἀρχόντων	a)rxo/ntwn	ἄρχω	a)/rxw	v3ppma---
ἀρχόντων	a)rxo/ntwn	ἄρχων	a)/rxwn	n-p---mg-
ἀρχῆς	a)rxh=s	ἀρχή	a)rxh/	n-s---fg-
ἀρέσκει	a)re/skei	ἀρέσκω	a)re/skw	v2spie---
ἀρέσκει	a)re/skei	ἀρέσκω	a)re/skw	v3spia---
ἀσπιδαποβλής	a)spidapoblh/s	ἀσπιδαποβλής	a)spidapoblh/s	n-s----n-
ἀσπάζωνται	a)spa/zwntai	ἀσπάζομαι	a)spa/zomai	v3ppse---
ἀσπίδα	a)spi/da	ἀσπίς	a)spi/s	n-s---fa-
ἀσπίδι	a)spi/di	ἀσπίς	a)spi/s	n-s---fd-
ἀστεῖόν	a)stei=o/n	ἀστεῖος	a)stei=os	a-s---ma-
ἀστεῖόν	a)stei=o/n	ἀστεῖος	a)stei=os	a-s---nn-
ἀστεῖόν	a)stei=o/n	ἀστεῖος	a)stei=os	a-s---nv-
ἀστεῖόν	a)stei=o/n	ἀστεῖος	a)stei=os	a-s---na-
ἀστραγάλους	a)straga/lous	ἀστράγαλος	a)stra/galos	n-p---ma-
ἀστράτευτος	a)stra/teutos	ἀστράτευτος	a)stra/teutos	n-s---mn-
ἀστράτευτος	a)stra/teutos	ἀστράτευτος	a)stra/teutos	n-s---fn-
ἀστράψω	a)stra/yw	ἀστράπτω	a)stra/ptw	v2saim---
ἀστράψω	a)stra/yw	ἀστράπτω	a)stra/ptw	v1sasa---
ἀστράψω	a)stra/yw	ἀστράπτω	a)stra/ptw	v1sfia---
ἀστράψω	a)stra/yw	ἀστράπτω	a)stra/ptw	v1stia---
ἀστράψω	a)stra/yw	ἀστράπτω	a)stra/ptw	v2saim---
ἀτενής	a)tenh/s	ἀτενής	a)tenh/s	n-s---mn-
ἀτενής	a)tenh/s	ἀτενής	a)tenh/s	n-s---fn-
ἀτεράμων	a)tera/mwn	ἀτέραμνος	a)te/ramnos	n-s---mn-
ἀτεράμων	a)tera/mwn	ἀτέραμνος	a)te/ramnos	n-s---fn-
ἀτεράμων	a)tera/mwn	ἀτεράμων	a)tera/mwn	n-s---mn-
ἀτεράμων	a)tera/mwn	ἀτεράμων	a)tera/mwn	n-s---fn-
ἀτεχνῶς	a)texnw=s	ἄτεχνος	a)/texnos	x--------
ἀτεχνῶς	a)texnw=s	ἀτεχνής	a)texnh/s	x--------
ἀτεχνῶς	a)texnw=s	ἀτεχνῶς	a)texnw=s	d--------
ἀτηρότατον	a)thro/taton	ἀτηρός	a)thro/s	a-s---mas
ἀτηρότατον	a)thro/taton	ἀτηρός	a)thro/s	a-s---nns
ἀτηρότατον	a)thro/taton	ἀτηρός	a)thro/s	a-s---nvs
ἀτηρότατον	a)thro/taton	ἀτηρός	a)thro/s	a-s---nas
ἀτρυγέτου	a)truge/tou	ἀτρύγετος	a)tru/getos	a-s---mg-
ἀτρυγέτου	a)truge/tou	ἀτρύγετος	a)tru/getos	a-s---ng-
ἀτρυγέτου	a)truge/tou	ἀτρύγετος	a)tru/getos	n-s---mg-
ἀτρυγέτου	a)truge/tou	ἀτρύγετος	a)tru/getos	n-s---fg-
ἀτρυγέτου	a)truge/tou	ἀτρύγετος	a)tru/getos	n-s---ng-
ἀτταγᾶς	a)ttaga=s	ἀτταγᾶς	a)ttaga=s	n-s----n-
ἀτάρ	a)ta/r	ἀτάρ	a)ta/r	g--------
ἀφελέσθαι	a)fele/sqai	ἀφαιρέω	a)faire/w	v--anm---
ἀφελόμενός	a)felo/meno/s	ἀφαιρέω	a)faire/w	v-sapmmn-
ἀφείς	a)fei/s	ἀφίημι	a)fi/hmi	v-sapamn-
ἀφείς	a)fei/s	ἀφίημι	a)fi/hmi	v-sapamv-
ἀφεῖναι	a)fei=nai	ἀφίημι	a)fi/hmi	v--ana---
ἀφεῖναι	a)fei=nai	ἀφίημι	a)fi/hmi	v--ana---
ἀφήσεις	a)fh/seis	ἀφίημι	a)fi/hmi	v2sfia---
ἀφίει	a)fi/ei	ἀφίημι	a)fi/hmi	v2spma---
ἀφίει	a)fi/ei	ἀφίημι	a)fi/hmi	v2spma---
ἀφίει	a)fi/ei	ἀφίημι	a)fi/hmi	v3siia---
ἀφίει	a)fi/ei	ἀφίημι	a)fi/hmi	v3siia---
ἀφύαις	a)fu/ais	ἀφύη	a)fu/h	n-p---fd-
ἀφῆτέ	a)fh=te/	ἀφίημι	a)fi/hmi	v2pasa---
ἀφῆτέ	a)fh=te/	ἀφίημι	a)fi/hmi	v2pasa---
ἀφ’	a)f'	ἀπό	a)po/	r--------
ἀφ’	a)f'	ἀπό	a)po/	r--------
ἀχυρμόν	a)xurmo/n	ἀχυρός	a)xuro/s	n-s---ma-
ἀχάριστος	a)xa/ristos	ἀχάριστος	a)xa/ristos	n-s---mn-
ἀχάριστος	a)xa/ristos	ἀχάριστος	a)xa/ristos	n-s---fn-
ἀψήφιστος	a)yh/fistos	ἀψήφιστος	a)yh/fistos	n-s---mn-
ἀψήφιστος	a)yh/fistos	ἀψήφιστος	a)yh/fistos	n-s---fn-
ἁ	a(	ὁ	o(	l-s---fn-
ἁγώ	a(gw/	ἀγός	a)go/s	n-d---mn-
ἁγώ	a(gw/	ἀγός	a)go/s	n-d---mv-
ἁγώ	a(gw/	ἀγός	a)go/s	n-d---ma-
ἁγώ	a(gw/	ἐγώ	e)gw/	p-s---mn-
ἁγώ	a(gw/	ἐγώ	e)gw/	p-s---mv-
ἁγώ	a(gw/	ἐγώ	e)gw/	p-s---fn-
ἁγώ	a(gw/	ἐγώ	e)gw/	p-s---fv-
ἁγών	a(gw/n	ἀγών	a)gw/n	n-s---mn-
ἁγών	a(gw/n	ἀγών	a)gw/n	n-s---mv-
ἁγών	a(gw/n	ἐγώ	e)gw/	p-s---mn-
ἁγών	a(gw/n	ἐγώ	e)gw/	p-s---mv-
ἁγών	a(gw/n	ἐγώ	e)gw/	p-s---fn-
ἁγών	a(gw/n	ἐγώ	e)gw/	p-s---fv-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	a-p---mn-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	a-p---mv-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	n-p---mn-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	n-p---mv-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	n-p---fn-
ἁθρόοι	a(qro/oi	ἀθρόος	a)qro/os	n-p---fv-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-sapafn-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-sapafv-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-papamd-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-papand-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-papafn-
ἁλοῦσ’	a(lou=s'	ἁλίσκομαι	a(li/skomai	v-papafv-
ἁλός	a(lo/s	ἅλς	a(/ls	n-s---mg-
ἁλός	a(lo/s	ἅλς	a(/ls	n-s---fg-
ἁλώσεται	a(lw/setai	ἁλίσκομαι	a(li/skomai	v3sfim---
ἁλῷ	a(lw=|	ἁλίσκομαι	a(li/skomai	v3sasa---
ἁμαρτάνεις	a(marta/neis	ἁμαρτάνω	a(marta/nw	v2spia---
ἁμαρτίας	a(marti/as	ἁμαρτία	a(marti/a	n-p---fa-
ἁμαρτίας	a(marti/as	ἁμαρτία	a(marti/a	n-s---fg-
ἁνήρ	a(nh/r	ἀνήρ	a)nh/r	n-s---mn-
ἁπαλήν	a(palh/n	ἁπαλός	a(palo/s	a-s---fa-
ἁπεκρίνατο	a(pekri/nato	ἀποκρίνω	a)pokri/nw	v3saim---
ἁπεκρίνατο	a(pekri/nato	ἐπικρίνω	e)pikri/nw	v3saim---
ἁπλῶς	a(plw=s	ἁπλός	a(plo/s	x--------
ἁπλῶς	a(plw=s	ἁπλόω	a(plo/w	v2spia---
ἁπλῶς	a(plw=s	ἁπλῶς	a(plw=s	d--------
ἁπάντων	a(pa/ntwn	ἅπας	a(/pas	a-p---mg-
ἁπάντων	a(pa/ntwn	ἅπας	a(/pas	a-p---ng-
ἁρμόσαι	a(rmo/sai	ἁρμόζω	a(rmo/zw	v--ana---
ἁρμόσαι	a(rmo/sai	ἁρμόζω	a(rmo/zw	v3saoa---
ἄγαλμα	a)/galma	ἄγαλμα	a)/galma	n-s---nn-
ἄγαλμα	a)/galma	ἄγαλμα	a)/galma	n-s---nv-
ἄγαλμα	a)/galma	ἄγαλμα	a)/galma	n-s---na-
ἄγαν	a)/gan	ἄγαν	a)/gan	d--------
ἄγαν	a)/gan	ἄγη	a)/gh	n-s---fa-
ἄγαν	a)/gan	ἀγάω	a)ga/w	v3piia---
ἄγαν	a)/gan	ἀγάω	a)ga/w	v1siia---
ἄγαν	a)/gan	ἀγάω	a)ga/w	v3piia---
ἄγαν	a)/gan	ἀγάω	a)ga/w	v1siia---
ἄγε	a)/ge	ἄγε	a)/ge	d--------
ἄγε	a)/ge	ἄγω	a)/gw	v2spma---
ἄγε	a)/ge	ἄγω	a)/gw	v3siia---
ἄγειν	a)/gein	ἄγω	a)/gw	v--pna---
ἄγεσθαι	a)/gesqai	ἄγω	a)/gw	v--pne---
ἄγλιθας	a)/gliqas	ἄγλις	a)/glis	n-p---fa-
ἄγων	a)/gwn	ἄγω	a)/gw	v-sppamn-
ἄγων	a)/gwn	ἀγάω	a)ga/w	v3piia---
ἄγων	a)/gwn	ἀγάω	a)ga/w	v1siia---
ἄγων	a)/gwn	ἀγάω	a)ga/w	v3piia---
ἄγων	a)/gwn	ἀγάω	a)ga/w	v1siia---
ἄθλιός	a)/qlio/s	ἄθλιος	a)/qlios	a-s---mn-
ἄθλιός	a)/qlio/s	ἄθλιος	a)/qlios	n-s---mn-
ἄθλιός	a)/qlio/s	ἄθλιος	a)/qlios	n-s---fn-
ἄθρει	a)/qrei	ἀθρέω	a)qre/w	v3siia---
ἄθρει	a)/qrei	ἀθρέω	a)qre/w	v2spma---
ἄθρει	a)/qrei	ἀθρέω	a)qre/w	v3siia---
ἄκουε	a)/koue	ἀκούω	a)kou/w	v3siia---
ἄκουε	a)/koue	ἀκούω	a)kou/w	v2spma---
ἄκουε	a)/koue	ἀκούω	a)kou/w	v3siia---
ἄκουρον	a)/kouron	ἄκουρος	a)/kouros	n-s---ma-
ἄκουρον	a)/kouron	ἄκουρος	a)/kouros	n-s---fa-
ἄκουρον	a)/kouron	ἄκουρος	a)/kouros	n-s---nn-
ἄκουρον	a)/kouron	ἄκουρος	a)/kouros	n-s---nv-
ἄκουρον	a)/kouron	ἄκουρος	a)/kouros	n-s---na-
ἄκουσον	a)/kouson	ἀκούω	a)kou/w	v2sama---
ἄκουσόν	a)/kouso/n	ἀκούω	a)kou/w	v2sama---
ἄκων	a)/kwn	ἄκων	a)/kwn	n-s---mn-
ἄκων	a)/kwn	ἀέκων	a)e/kwn	a-s---mn-
ἄλγιστον	a)/lgiston	ἄλγιστος	a)/lgistos	a-s---ma-
ἄλγιστον	a)/lgiston	ἄλγιστος	a)/lgistos	a-s---nn-
ἄλγιστον	a)/lgiston	ἄλγιστος	a)/lgistos	a-s---nv-
ἄλγιστον	a)/lgiston	ἄλγιστος	a)/lgistos	a-s---na-
ἄλγιστον	a)/lgiston	ἀλγίων	a)lgi/wn	a-s---ma-
ἄλγιστον	a)/lgiston	ἀλγίων	a)lgi/wn	a-s---nn-
ἄλγιστον	a)/lgiston	ἀλγίων	a)lgi/wn	a-s---nv-
ἄλγιστον	a)/lgiston	ἀλγίων	a)lgi/wn	a-s---na-
ἄληθες	a)/lhqes	ἀλήθω	a)lh/qw	v2siia---
ἄληθες	a)/lhqes	ἀλήθω	a)lh/qw	v2siia---
ἄληθες	a)/lhqes	ἀληθής	a)lhqh/s	d--------
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	a-p---mn-
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	a-p---mv-
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	n-p---mn-
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	n-p---mv-
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	n-p---fn-
ἄλκιμοι	a)/lkimoi	ἄλκιμος	a)/lkimos	n-p---fv-
ἄλλην	a)/llhn	ἄλλος	a)/llos	n-s---fa-
ἄλλο	a)/llo	ἄλλος	a)/llos	n-s---nn-
ἄλλο	a)/llo	ἄλλος	a)/llos	n-s---nv-
ἄλλο	a)/llo	ἄλλος	a)/llos	n-s---na-
ἄλλοις	a)/llois	ἄλλος	a)/llos	n-p---nd-
ἄλλοις	a)/llois	ἄλλος	a)/llos	n-p---md-
ἄλλον	a)/llon	ἄλλος	a)/llos	n-s---ma-
ἄλλος	a)/llos	ἄλλος	a)/llos	n-s---mn-
ἄλλων	a)/llwn	ἄλλος	a)/llos	n-p---ng-
ἄλλων	a)/llwn	ἄλλος	a)/llos	n-p---fg-
ἄλλων	a)/llwn	ἄλλος	a)/llos	n-p---mg-
ἄλλως	a)/llws	ἄλλος	a)/llos	n-p---ma-
ἄλλως	a)/llws	ἄλλως	a)/llws	d--------
ἄλφιτα	a)/lfita	ἄλφιτον	a)/lfiton	n-p---nn-
ἄλφιτα	a)/lfita	ἄλφιτον	a)/lfiton	n-p---nv-
ἄλφιτα	a)/lfita	ἄλφιτον	a)/lfiton	n-p---na-
ἄμεινον	a)/meinon	ἀμείνων	a)mei/nwn	a-s---mv-
ἄμεινον	a)/meinon	ἀμείνων	a)mei/nwn	a-s---fv-
ἄμεινον	a)/meinon	ἀμείνων	a)mei/nwn	a-s---nn-
ἄμεινον	a)/meinon	ἀμείνων	a)mei/nwn	a-s---nv-
ἄμεινον	a)/meinon	ἀμείνων	a)mei/nwn	a-s---na-
ἄμουσος	a)/mousos	ἄμουσος	a)/mousos	n-s---mn-
ἄμουσος	a)/mousos	ἄμουσος	a)/mousos	n-s---fn-
ἄμπελον	a)/mpelon	ἄμπελος	a)/mpelos	n-s---fa-
ἄν	a)/n	ἄν1	a)/n1	g--------
ἄν	a)/n	ἄν2	a)/n2	c--------
ἄν	a)/n	ἀνά	a)na/	r--------
ἄν	a)/n	ἐάν	e)a/n	c--------
ἄναξ	a)/nac	ἄναξ	a)/nac	n-s---mn-
ἄναξ	a)/nac	ἄναξ	a)/nac	n-s---mv-
ἄνδρα	a)/ndra	ἀνήρ	a)nh/r	n-s---ma-
ἄνδρας	a)/ndras	ἀνήρ	a)nh/r	n-p---ma-
ἄνδρες	a)/ndres	ἀνήρ	a)nh/r	n-p---mn-
ἄνδρες	a)/ndres	ἀνήρ	a)nh/r	n-p---mv-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-s---ma-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---mn-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---mv-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---ma-
ἄνες	a)/nes	ἄνω1	a)/nw1	v2spia---
ἄνες	a)/nes	ἄνω1	a)/nw1	v2siia---
ἄνες	a)/nes	ἀνίημι	a)ni/hmi	v2sama---
ἄνευ	a)/neu	ἄνευ	a)/neu	r--------
ἄνευ	a)/neu	ἄνω1	a)/nw1	v2siie---
ἄνευ	a)/neu	ἄνω1	a)/nw1	v2spme---
ἄνευ	a)/neu	ἄνω1	a)/nw1	v2siie---
ἄνεχε	a)/nexe	ἀνέχω	a)ne/xw	v2spma---
ἄνεχε	a)/nexe	ἀνέχω	a)ne/xw	v3siia---
ἄνθρωπον	a)/nqrwpon	ἄνθρωπος	a)/nqrwpos	n-s---ma-
ἄνθρωπος	a)/nqrwpos	ἄνθρωπος	a)/nqrwpos	n-s---mn-
ἄνοντος	a)/nontos	ἄνω1	a)/nw1	v-sppamg-
ἄνοντος	a)/nontos	ἄνω1	a)/nw1	v-sppang-
ἄνυσόν	a)/nuso/n	ἀνύω	a)nu/w	v2sama---
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---mn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---mv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---ma-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fa-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---na-
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spsa---
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spia---
ἄνω	a)/nw	ἄνω2	a)/nw2	d--------
ἄνωθεν	a)/nwqen	ἄνωθεν	a)/nwqen	d--------
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---nn-
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---nv-
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---na-
ἄπειμι	a)/peimi	ἄπειμι1	a)/peimi1	v1spia---
ἄπειμι	a)/peimi	ἄπειμι2	a)/peimi2	v1spia---
ἄπεισι	a)/peisi	ἄπειμι1	a)/peimi1	v3ppia---
ἄπεισι	a)/peisi	ἄπειμι2	a)/peimi2	v3spia---
ἄπεισιν	a)/peisin	ἄπειμι1	a)/peimi1	v3ppia---
ἄπεισιν	a)/peisin	ἄπειμι2	a)/peimi2	v3spia---
ἄπιμεν	a)/pimen	ἄπειμι2	a)/peimi2	v1ppia---
ἄπιτε	a)/pite	ἄπειμι2	a)/peimi2	v2ppma---
ἄπιτε	a)/pite	ἄπειμι2	a)/peimi2	v2ppia---
ἄπορά	a)/pora/	ἄπορος	a)/poros	n-p---nn-
ἄπορά	a)/pora/	ἄπορος	a)/poros	n-p---nv-
ἄπορά	a)/pora/	ἄπορος	a)/poros	n-p---na-
ἄρα	a)/ra	ἄρα	a)/ra	g--------
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nn-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nv-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---na-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nn-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nv-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---na-
ἄρθροις	a)/rqrois	ἄρθρον	a)/rqron	n-p---nd-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---ma-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nn-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nv-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---na-
ἄριστος	a)/ristos	ἄριστος	a)/ristos	a-s---mn-
ἄριστός	a)/risto/s	ἄριστος	a)/ristos	a-s---mn-
ἄρξας	a)/rcas	ἄρχω	a)/rxw	v-sapamn-
ἄρξας	a)/rcas	ἄρχω	a)/rxw	v-sapamv-
ἄρξας	a)/rcas	ἄρχω	a)/rxw	v2saia---
ἄρτους	a)/rtous	ἄρτος	a)/rtos	n-p---ma-
ἄρχειν	a)/rxein	ἄρχω	a)/rxw	v--pna---
ἄρχεις	a)/rxeis	ἄρχω	a)/rxw	v2spia---
ἄρχω	a)/rxw	ἄρχω	a)/rxw	v1spsa---
ἄρχω	a)/rxw	ἄρχω	a)/rxw	v1spia---
ἄρχων	a)/rxwn	ἄρχω	a)/rxw	v-sppamn-
ἄρχων	a)/rxwn	ἄρχων	a)/rxwn	n-s---mn-
ἄτθ’	a)/tq'	ἄττα	a)/tta	x--------
ἄτθ’	a)/tq'	ἀίσσω	a)i/ssw	v2spma---
ἄτθ’	a)/tq'	ἀίσσω	a)i/ssw	v3siia---
ἄφες	a)/fes	ἀφίημι	a)fi/hmi	v2sama---
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---mn-
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---fn-
ἄχθεται	a)/xqetai	ἄχθομαι	a)/xqomai	v3spie---
ἄχθομαι	a)/xqomai	ἄχθομαι	a)/xqomai	v1spie---
ἄχνην	a)/xnhn	ἄχνη	a)/xnh	n-s---fa-
ἅ	a(/	ὁ	o(	l-s---fn-
ἅ	a(/	ὅς	o(/s	p-p---na-
ἅ	a(/	ὅς	o(/s	p-p---nn-
ἅ	a(/	ὅς	o(/s	p-d---fa-
ἅ	a(/	ὅς	o(/s	p-d---fn-
ἅ	a(/	ὅς	o(/s	p-s---fn-
ἅλαβες	a(/labes	λαμβάνω	lamba/nw	v2saia---
ἅλμην	a(/lmhn	ἅλμη	a(/lmh	n-s---fa-
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v3piia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v1siia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v3piia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v1siia---
ἅμα	a(/ma	ἅμα	a(/ma	d--------
ἅναξ	a(/nac	ἄναξ	a)/nac	n-s---mn-
ἅναξ	a(/nac	ἄναξ	a)/nac	n-s---mv-
ἅνθρωπος	a(/nqrwpos	ἄνθρωπος	a)/nqrwpos	n-s---mn-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---mn-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---mv-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---ma-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---fn-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---fv-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---fa-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---nn-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---nv-
ἅνω	a(/nw	ἄνοος	a)/noos	n-d---na-
ἅνω	a(/nw	ἄνω1	a)/nw1	v1spsa---
ἅνω	a(/nw	ἄνω1	a)/nw1	v1spia---
ἅνω	a(/nw	ἄνω2	a)/nw2	d--------
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-p---nn-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-p---nv-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-p---na-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-s---ma-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-s---md-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-s---nd-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---mn-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---mv-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---ma-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---nn-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---nv-
ἅπανθ’	a(/panq'	ἅπας	a(/pas	a-d---na-
ἅπαντας	a(/pantas	ἅπας	a(/pas	a-p---ma-
ἅπαντες	a(/pantes	ἅπας	a(/pas	a-p---mn-
ἅπαντες	a(/pantes	ἅπας	a(/pas	a-p---mv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---nn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---nv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---na-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---ma-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---md-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---nd-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---mn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---mv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---ma-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---nn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---nv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---na-
ἅπαξ	a(/pac	ἅπαξ	a(/pac	d--------
ἅπασαν	a(/pasan	ἅπας	a(/pas	a-s---fa-
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---md-
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---nd-
ἅπασιν	a(/pasin	ἅπας	a(/pas	a-p---md-
ἅπασιν	a(/pasin	ἅπας	a(/pas	a-p---nd-
