Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
ἀναρπάσαντες	a)narpa/santes	ἀναρπάζω	a)narpa/zw	v-papamn-
ἀναρπάσαντες	a)narpa/santes	ἀναρπάζω	a)narpa/zw	v-papamv-
ἀναρπάσαντες	a)narpa/santes	ἀναρπάζω	a)narpa/zw	v-papamn-
ἀναρπάσαντες	a)narpa/santes	ἀναρπάζω	a)narpa/zw	v-papamv-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-pfpafa-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sfpafg-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-pfpafa-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sfpafg-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sapamn-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sapamv-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sapamn-
ἀναρπάσας	a)narpa/sas	ἀναρπάζω	a)narpa/zw	v-sapamv-
ἀναστρέφων	a)nastre/fwn	ἀναστρέφω	a)nastre/fw	v-sppamn-
ἀναφέρων	a)nafe/rwn	ἀναφέρω	a)nafe/rw	v-sppamn-
ἀνδρί	a)ndri/	ἀνδρίς	a)ndri/s	n-s---fv-
ἀνδρί	a)ndri/	ἀνήρ	a)nh/r	n-s---md-
ἀνδρός	a)ndro/s	ἀνήρ	a)nh/r	n-s---mg-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v-sppamv-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v-sppann-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v-sppanv-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v-sppana-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v-sppamn-
ἀνδρῶν	a)ndrw=n	ἀνδρόω	a)ndro/w	v--pna---
ἀνδρῶν	a)ndrw=n	ἀνήρ	a)nh/r	n-p---mg-
ἀνεβόα	a)nebo/a	ἀναβοάω	a)naboa/w	v3siia---
ἀνεβόασεν	a)nebo/asen	ἀναβοάω	a)naboa/w	v3saia---
ἀνεβόησε	a)nebo/hse	ἀναβοάω	a)naboa/w	v3saia---
ἀνεγνώσθημεν	a)negnw/sqhmen	ἀναγιγνώσκω	a)nagignw/skw	v1paip---
ἀνελπίστοις	a)nelpi/stois	ἀνέλπιστος	a)ne/lpistos	n-p---md-
ἀνελπίστοις	a)nelpi/stois	ἀνέλπιστος	a)ne/lpistos	n-p---fd-
ἀνελπίστοις	a)nelpi/stois	ἀνέλπιστος	a)ne/lpistos	n-p---nd-
ἀνελπίστῳ	a)nelpi/stw|	ἀνέλπιστος	a)ne/lpistos	n-s---md-
ἀνελπίστῳ	a)nelpi/stw|	ἀνέλπιστος	a)ne/lpistos	n-s---fd-
ἀνελπίστῳ	a)nelpi/stw|	ἀνέλπιστος	a)ne/lpistos	n-s---nd-
ἀνεπτέρωκα	a)nepte/rwka	ἀναπτερόω	a)naptero/w	v1sria---
ἀνείλετ’	a)nei/let'	ἀναιρέω	a)naire/w	v3saim---
ἀνείλετ’	a)nei/let'	ἀναιρέω	a)naire/w	v2paia---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v2pasa---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v2ppma---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v2ppia---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v3sasm---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v3spie---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v3siie---
ἀνείλετ’	a)nei/let'	ἀνειλέω	a)neile/w	v2piia---
ἀνείλοντ’	a)nei/lont'	ἀναιρέω	a)naire/w	v3paim---
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-pppann-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-pppanv-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-pppana-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-sppama-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-sppamd-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-sppand-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v3ppia---
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppamn-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppamv-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppama-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppann-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppanv-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v-dppana-
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v3ppie---
ἀνείλοντ’	a)nei/lont'	ἀνειλέω	a)neile/w	v3piie---
ἀνηνύτοις	a)nhnu/tois	ἀνήνυτος	a)nh/nutos	n-p---md-
ἀνηνύτοις	a)nhnu/tois	ἀνήνυτος	a)nh/nutos	n-p---fd-
ἀνηνύτοις	a)nhnu/tois	ἀνήνυτος	a)nh/nutos	n-p---nd-
ἀνηρπάσθη	a)nhrpa/sqh	ἀναρπάζω	a)narpa/zw	v3saip---
ἀνηρόμην	a)nhro/mhn	ἀναίρω	a)nai/rw	v1saim---
ἀνηρόμην	a)nhro/mhn	ἀνέρομαι	a)ne/romai	v1saim---
ἀνθρώποις	a)nqrw/pois	ἄνθρωπος	a)/nqrwpos	n-p---md-
ἀνθρώποισιν	a)nqrw/poisin	ἄνθρωπος	a)/nqrwpos	n-p---md-
ἀνθρώπων	a)nqrw/pwn	ἄνθρωπος	a)/nqrwpos	n-p---mg-
ἀνθάψεται	a)nqa/yetai	ἀνθάπτομαι	a)nqa/ptomai	v3sasm---
ἀνθάψεται	a)nqa/yetai	ἀνθάπτομαι	a)nqa/ptomai	v3sfim---
ἀνθάψεται	a)nqa/yetai	ἀνθάπτομαι	a)nqa/ptomai	v3stie---
ἀνονήτοις	a)nonh/tois	ἀνόνητος	a)no/nhtos	n-p---md-
ἀνονήτοις	a)nonh/tois	ἀνόνητος	a)no/nhtos	n-p---fd-
ἀνονήτοις	a)nonh/tois	ἀνόνητος	a)no/nhtos	n-p---nd-
ἀνοσίῳ	a)nosi/w|	ἀνόσιος	a)no/sios	a-s---md-
ἀνοσίῳ	a)nosi/w|	ἀνόσιος	a)no/sios	a-s---nd-
ἀνοσίῳ	a)nosi/w|	ἀνόσιος	a)no/sios	n-s---md-
ἀνοσίῳ	a)nosi/w|	ἀνόσιος	a)no/sios	n-s---fd-
ἀνοσίῳ	a)nosi/w|	ἀνόσιος	a)no/sios	n-s---nd-
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1sasm---
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1sfim---
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1stie---
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1sasm---
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1sfim---
ἀνταλλάξομαι	a)ntalla/comai	ἀνταλλάσσω	a)ntalla/ssw	v1stie---
ἀνταπωλόμην	a)ntapwlo/mhn	ἀνταπόλλυμι	a)ntapo/llumi	v1saim---
ἀντιδωρησαίατο	a)ntidwrhsai/ato	ἀντιδωρέομαι	a)ntidwre/omai	v3paoe---
ἀντιδωρησαίατο	a)ntidwrhsai/ato	ἀντιδωρέομαι	a)ntidwre/omai	v3paom---
ἀντιθῇ	a)ntiqh=|	ἀνατίθημι	a)nati/qhmi	v2spse---
ἀντιθῇ	a)ntiqh=|	ἀνατίθημι	a)nati/qhmi	v3spsa---
ἀντιθῇ	a)ntiqh=|	ἀνατίθημι	a)nati/qhmi	v3spsa---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v2spse---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v2spie---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v3spsa---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v3spsa---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v2spsm---
ἀντιθῇ	a)ntiqh=|	ἀντιθέω	a)ntiqe/w	v2spim---
ἀντιθῇ	a)ntiqh=|	ἀντιτίθημι	a)ntiti/qhmi	v2sasm---
ἀντιθῇ	a)ntiqh=|	ἀντιτίθημι	a)ntiti/qhmi	v3sasa---
ἀντιλόγοις	a)ntilo/gois	ἀντίλογος	a)nti/logos	n-p---md-
ἀντιλόγοις	a)ntilo/gois	ἀντίλογος	a)nti/logos	n-p---fd-
ἀντιλόγοις	a)ntilo/gois	ἀντίλογος	a)nti/logos	n-p---nd-
ἀντέδωκ’	a)nte/dwk'	ἀντιδίδωμι	a)ntidi/dwmi	v1saia---
ἀντέδωκ’	a)nte/dwk'	ἀντιδίδωμι	a)ntidi/dwmi	v3saia---
ἀντί	a)nti/	ἀντί	a)nti/	r--------
ἀντ’	a)nt'	ἀντί	a)nti/	r--------
ἀνά	a)na/	ἀνά	a)na/	r--------
ἀνάγκασον	a)na/gkason	ἀναγκάζω	a)nagka/zw	v2sama---
ἀνάγκης	a)na/gkhs	ἀνάγκη	a)na/gkh	n-s---fg-
ἀνάξι’	a)na/ci'	ἄναξις	a)/nacis	n-s---fd-
ἀνάξι’	a)na/ci'	ἄναξις	a)/nacis	n-d---fn-
ἀνάξι’	a)na/ci'	ἄναξις	a)/nacis	n-d---fv-
ἀνάξι’	a)na/ci'	ἄναξις	a)/nacis	n-d---fa-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-p---nn-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-p---nv-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-p---na-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	n-p---nn-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	n-p---nv-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	n-p---na-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-s---mv-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	n-s---mv-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	n-s---fv-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-p---fn-
ἀνάξι’	a)na/ci'	ἀνάξιος	a)na/cios	a-p---fv-
ἀνάξι’	a)na/ci'	ἀνάγω	a)na/gw	v2saim---
ἀνάξι’	a)na/ci'	ἀνάγω	a)na/gw	v2saim---
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-sfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-sfpafv-
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v3pasa---
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-pfpamd-
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-pfpand-
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v3pfia---
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-pfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάγω	a)na/gw	v-pfpafv-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-sfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-sfpafv-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-stiafn-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-stiafv-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v3pasa---
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-pfpamd-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-pfpand-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v3pfia---
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-ptiamd-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-ptiand-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v3ptia---
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-pfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-pfpafv-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-ptiafn-
ἀνάξουσ’	a)na/cous'	ἀνάσσω	a)na/ssw	v-ptiafv-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-sfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-sfpafv-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v3pasa---
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-pfpamd-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-pfpand-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v3pfia---
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-pfpafn-
ἀνάξουσ’	a)na/cous'	ἀνάζω	a)na/zw	v-pfpafv-
ἀνάσσει	a)na/ssei	ἀνάσσω	a)na/ssw	v2spie---
ἀνάσσει	a)na/ssei	ἀνάσσω	a)na/ssw	v3spia---
ἀνάσσει	a)na/ssei	ἀνάζω	a)na/zw	v3sasa---
ἀνάσσει	a)na/ssei	ἀνάζω	a)na/zw	v2sfim---
ἀνάσσει	a)na/ssei	ἀνάζω	a)na/zw	v3sfia---
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-sppafn-
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-sppafv-
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-pppamd-
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-pppand-
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v3ppia---
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-pppafn-
ἀνάσσουσ’	a)na/ssous'	ἀνάσσω	a)na/ssw	v-pppafv-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-sfpafn-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-sfpafv-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v3pasa---
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-pfpamd-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-pfpand-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v3pfia---
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-pfpafn-
ἀνάσσουσ’	a)na/ssous'	ἀνάζω	a)na/zw	v-pfpafv-
ἀνάσχοιτ’	a)na/sxoit'	ἀνέχω	a)ne/xw	v3saom---
ἀνάσχοιτ’	a)na/sxoit'	ἀνέχω	a)ne/xw	v2paoa---
ἀνάψυξον	a)na/yucon	ἀναψύχω	a)nayu/xw	v2sama---
ἀνέμων	a)ne/mwn	ἄνεμος	a)/nemos	n-p---mg-
ἀνέμων	a)ne/mwn	ἀνεμόω	a)nemo/w	v3piia---
ἀνέμων	a)ne/mwn	ἀνεμόω	a)nemo/w	v1siia---
ἀνέμων	a)ne/mwn	ἀνεμόω	a)nemo/w	v3piia---
ἀνέμων	a)ne/mwn	ἀνεμόω	a)nemo/w	v1siia---
ἀνέστενε	a)ne/stene	ἀναστένω	a)naste/nw	v3siia---
ἀνήνεμον	a)nh/nemon	ἀνήνεμος	a)nh/nemos	n-s---ma-
ἀνήνεμον	a)nh/nemon	ἀνήνεμος	a)nh/nemos	n-s---fa-
ἀνήνεμον	a)nh/nemon	ἀνήνεμος	a)nh/nemos	n-s---nn-
ἀνήνεμον	a)nh/nemon	ἀνήνεμος	a)nh/nemos	n-s---nv-
ἀνήνεμον	a)nh/nemon	ἀνήνεμος	a)nh/nemos	n-s---na-
ἀνήρ	a)nh/r	ἀνήρ	a)nh/r	n-s---mn-
ἀνήρου	a)nh/rou	ἀναίρω	a)nai/rw	v2saim---
ἀνήρου	a)nh/rou	ἀνέρομαι	a)ne/romai	v2saim---
ἀνήρπασ’	a)nh/rpas'	ἀναρπάζω	a)narpa/zw	v1saia---
ἀνήρπασ’	a)nh/rpas'	ἀναρπάζω	a)narpa/zw	v2slie---
ἀνήρπασ’	a)nh/rpas'	ἀναρπάζω	a)narpa/zw	v2srme---
ἀνήρπασ’	a)nh/rpas'	ἀναρπάζω	a)narpa/zw	v3saia---
ἀνήρπασ’	a)nh/rpas'	ἀναρπάζω	a)narpa/zw	v2srie---
ἀνίστη	a)ni/sth	ἀνίστημι	a)ni/sthmi	v3siia---
ἀνίστη	a)ni/sth	ἀνίστημι	a)ni/sthmi	v2spma---
ἀνίστη	a)ni/sth	ἀνίστημι	a)ni/sthmi	v3siia---
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	a-s---ma-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	a-s---nn-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	a-s---nv-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	a-s---na-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	n-s---ma-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	n-s---fa-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	n-s---nn-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	n-s---nv-
ἀνόσιον	a)no/sion	ἀνόσιος	a)no/sios	n-s---na-
ἀνώνυμος	a)nw/numos	ἀνώνυμος	a)nw/numos	n-s---mn-
ἀνώνυμος	a)nw/numos	ἀνώνυμος	a)nw/numos	n-s---fn-
ἀνῇξαν	a)nh=|can	ἀναίσσω	a)nai/ssw	v3paia---
ἀξιοῦμαι	a)ciou=mai	ἀξιόω	a)cio/w	v1spie---
ἀξιώσει	a)ciw/sei	ἀξίωσις	a)ci/wsis	n-d---fn-
ἀξιώσει	a)ciw/sei	ἀξίωσις	a)ci/wsis	n-d---fv-
ἀξιώσει	a)ciw/sei	ἀξίωσις	a)ci/wsis	n-d---fa-
ἀξιώσει	a)ciw/sei	ἀξίωσις	a)ci/wsis	n-s---fd-
ἀξιώσει	a)ciw/sei	ἀξίωσις	a)ci/wsis	n-s---fd-
ἀξιώσει	a)ciw/sei	ἀξιόω	a)cio/w	v3sasa---
ἀξιώσει	a)ciw/sei	ἀξιόω	a)cio/w	v2sfim---
ἀξιώσει	a)ciw/sei	ἀξιόω	a)cio/w	v3sfia---
ἀξιώσει	a)ciw/sei	ἀξιόω	a)cio/w	v2stie---
ἀξιώσει	a)ciw/sei	ἀξιόω	a)cio/w	v3stia---
ἀξιώσω	a)ciw/sw	ἀξιόω	a)cio/w	v2saim---
ἀξιώσω	a)ciw/sw	ἀξιόω	a)cio/w	v1sasa---
ἀξιώσω	a)ciw/sw	ἀξιόω	a)cio/w	v1sfia---
ἀξιώσω	a)ciw/sw	ἀξιόω	a)cio/w	v1stia---
ἀξιώσω	a)ciw/sw	ἀξιόω	a)cio/w	v2saim---
ἀξένους	a)ce/nous	ἄξενος	a)/cenos	n-p---ma-
ἀξένους	a)ce/nous	ἄξενος	a)/cenos	n-p---fa-
ἀοιδοτάταν	a)oidota/tan	ἀοιδόσ2	a)oido/s2	a-s---fas
ἀπαιτῶ	a)paitw=	ἀπαιτέω	a)paite/w	v1spsa---
ἀπαιτῶ	a)paitw=	ἀπαιτέω	a)paite/w	v1spia---
ἀπαιτῶ	a)paitw=	ἀπαιτέω	a)paite/w	v1spsa---
ἀπαιτῶ	a)paitw=	ἀπαιτέω	a)paite/w	v1spia---
ἀπαλλαχθείς	a)pallaxqei/s	ἀπαλλάσσω	a)palla/ssw	v-sappmn-
ἀπαλλαχθείς	a)pallaxqei/s	ἀπαλλάσσω	a)palla/ssw	v-sappmv-
ἀπαλλαχθείς	a)pallaxqei/s	ἀπαλλαξείω	a)pallacei/w	v-sappmn-
ἀπαλλαχθείς	a)pallaxqei/s	ἀπαλλαξείω	a)pallacei/w	v-sappmv-
ἀπαλλάξαι	a)palla/cai	ἀπαλλάσσω	a)palla/ssw	v--ana---
ἀπαλλάξαι	a)palla/cai	ἀπαλλάσσω	a)palla/ssw	v3saoa---
ἀπαλλάξαι	a)palla/cai	ἀπαλλαξείω	a)pallacei/w	v--ana---
ἀπαλλάξαι	a)palla/cai	ἀπαλλαξείω	a)pallacei/w	v3saoa---
ἀπαλλάξειν	a)palla/cein	ἀπαλλάσσω	a)palla/ssw	v--fna---
ἀπαλλάξειν	a)palla/cein	ἀπαλλάσσω	a)palla/ssw	v--tna---
ἀπαλλάξειν	a)palla/cein	ἀπαλλαξείω	a)pallacei/w	v--fna---
ἀπαλλάξειν	a)palla/cein	ἀπαλλαξείω	a)pallacei/w	v--tna---
ἀπαλλάξῃ	a)palla/ch|	ἀπάλλαξις	a)pa/llacis	n-s---fd-
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλάσσω	a)palla/ssw	v2sasm---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλάσσω	a)palla/ssw	v3sasa---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλάσσω	a)palla/ssw	v2sfim---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλάσσω	a)palla/ssw	v2stie---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλάσσω	a)palla/ssw	v2stim---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαξείω	a)pallacei/w	v2sasm---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαξείω	a)pallacei/w	v3sasa---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαξείω	a)pallacei/w	v2sfim---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαξείω	a)pallacei/w	v2stie---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαξείω	a)pallacei/w	v2stim---
ἀπαλλάξῃ	a)palla/ch|	ἀπαλλαγή	a)pallagh/	n-s---fd-
ἀπελθών	a)pelqw/n	ἀπέρχομαι	a)pe/rxomai	v-sapamn-
ἀπεστράφης	a)pestra/fhs	ἀποστρέφω	a)postre/fw	v2saip---
ἀπεστάλης	a)pesta/lhs	ἀποστέλλω	a)poste/llw	v2saip---
ἀπείργει	a)pei/rgei	ἀπείργω	a)pei/rgw	v2spie---
ἀπείργει	a)pei/rgei	ἀπείργω	a)pei/rgw	v3spia---
ἀπεῖργεν	a)pei=rgen	ἀπείργω	a)pei/rgw	v3siia---
ἀπεῖργεν	a)pei=rgen	ἀπείργω	a)pei/rgw	v3siia---
ἀπηλλάχθη	a)phlla/xqh	ἀπαλλαξείω	a)pallacei/w	v3saip---
ἀπιστίας	a)pisti/as	ἀπιστία	a)pisti/a	n-p---fa-
ἀπιστίας	a)pisti/as	ἀπιστία	a)pisti/a	n-s---fg-
ἀποβλέπων	a)poble/pwn	ἀποβλέπω	a)poble/pw	v-sppamn-
ἀποδοίη	a)podoi/h	ἀποδέω	a)pode/w	v3spoa---
ἀποδοίη	a)podoi/h	ἀποδίδωμι	a)podi/dwmi	v3saoa---
ἀποδοίη	a)podoi/h	ἀποδίδωμι	a)podi/dwmi	v3saoa---
ἀποδοῦναι	a)podou=nai	ἀποδίδωμι	a)podi/dwmi	v--ana---
ἀποδοῦσαι	a)podou=sai	ἀποδέω	a)pode/w	v-pppafn-
ἀποδοῦσαι	a)podou=sai	ἀποδέω	a)pode/w	v-pppafv-
ἀποδοῦσαι	a)podou=sai	ἀποδέω1	a)pode/w1	v-pppafn-
ἀποδοῦσαι	a)podou=sai	ἀποδέω1	a)pode/w1	v-pppafv-
ἀποδοῦσαι	a)podou=sai	ἀποδέω2	a)pode/w2	v-pppafn-
ἀποδοῦσαι	a)podou=sai	ἀποδέω2	a)pode/w2	v-pppafv-
ἀποδοῦσαι	a)podou=sai	ἀποδίδωμι	a)podi/dwmi	v-papafn-
ἀποδοῦσαι	a)podou=sai	ἀποδίδωμι	a)podi/dwmi	v-papafv-
ἀποδοῦσαι	a)podou=sai	ἀποδίδωμι	a)podi/dwmi	v-papafn-
ἀποδοῦσαι	a)podou=sai	ἀποδίδωμι	a)podi/dwmi	v-papafv-
ἀποδέξηται	a)pode/chtai	ἀποδέχομαι	a)pode/xomai	v3sasm---
ἀποδέξηται	a)pode/chtai	ἀποδείκνυμι	a)podei/knumi	v3sasm---
ἀποδώσεις	a)podw/seis	ἀποδίδωμι	a)podi/dwmi	v2sfia---
ἀποδώσω	a)podw/sw	ἀποδίδωμι	a)podi/dwmi	v1sfia---
ἀποιχομένας	a)poixome/nas	ἀποίχομαι	a)poi/xomai	v-pppefa-
ἀποιχομένας	a)poixome/nas	ἀποίχομαι	a)poi/xomai	v-sppefg-
ἀποκτεῖναι	a)poktei=nai	ἀποκτείνω	a)poktei/nw	v--ana---
ἀπολαβεῖν	a)polabei=n	ἀπολαμβάνω	a)polamba/nw	v--ana---
ἀπολάβοι	a)pola/boi	ἀπολαμβάνω	a)polamba/nw	v3saoa---
ἀπολέσας	a)pole/sas	ἀπόλλυμι	a)po/llumi	v-sapamn-
ἀπολέσας	a)pole/sas	ἀπόλλυμι	a)po/llumi	v-sapamv-
ἀποπρό	a)popro/	ἀποπρό	a)popro/	d--------
ἀποπτύσειαν	a)poptu/seian	ἀποπτύω	a)poptu/w	v3paoa---
ἀπορροαί	a)porroai/	ἀπορροή	a)porroh/	n-p---fn-
ἀπορροαί	a)porroai/	ἀπορροή	a)porroh/	n-p---fv-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-pppafa-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sppafg-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-pppafa-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sppafg-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sapamn-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sapamv-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sapamn-
ἀποσπάσας	a)pospa/sas	ἀποσπάω	a)pospa/w	v-sapamv-
ἀποστελῶ	a)postelw=	ἀποστέλλω	a)poste/llw	v1sfia---
ἀποστερεῖ	a)posterei=	ἀποστερέω	a)postere/w	v3sasp---
ἀποστερεῖ	a)posterei=	ἀποστερέω	a)postere/w	v2sfim---
ἀποστερεῖ	a)posterei=	ἀποστερέω	a)postere/w	v3sfia---
ἀποστερεῖ	a)posterei=	ἀποστερέω	a)postere/w	v2spie---
ἀποστερεῖ	a)posterei=	ἀποστερέω	a)postere/w	v3spia---
