Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
κἀμοί	ka)moi/	ἐγώ	e)gw/	p-s---fd-
κἀμοί	ka)moi/	ἐμός	e)mo/s	a-p---mn-
κἀμοί	ka)moi/	ἐμός	e)mo/s	a-p---mv-
κἀμοί	ka)moi/	ἡμός	h(mo/s	a-p---mn-
κἀμοί	ka)moi/	ἡμός	h(mo/s	a-p---mv-
κἀμέ	ka)me/	ἁμόσ1	a(mo/s1	a-s---mv-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---ma-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---fa-
κἀμέ	ka)me/	ἐμός	e)mo/s	a-s---mv-
κἀμέ	ka)me/	ἡμός	h(mo/s	a-s---mv-
κἀν	ka)n	ἐν	e)n	r--------
κἀν	ka)n	εἰς	ei)s	r--------
κἀναπνεύσας	ka)napneu/sas	ἀναπνέω	a)napne/w	v-pppafa-
κἀναπνεύσας	ka)napneu/sas	ἀναπνέω	a)napne/w	v-sppafg-
κἀναπνεύσας	ka)napneu/sas	ἀναπνέω	a)napne/w	v-sapamn-
κἀναπνεύσας	ka)napneu/sas	ἀναπνέω	a)napne/w	v-sapamv-
κἀναπνεύσας	ka)napneu/sas	ἀναπνεύω	a)napneu/w	v-sapamn-
κἀναπνεύσας	ka)napneu/sas	ἀναπνεύω	a)napneu/w	v-sapamv-
κἀναπυθώμεθα	ka)napuqw/meqa	ἀναπυνθάνομαι	a)napunqa/nomai	v1pase---
κἀνέγειρε	ka)ne/geire	ἀνεγείρω	a)negei/rw	v2spma---
κἀξ	ka)c	ἐκ	e)k	r--------
κἀπαναγκάζει	ka)panagka/zei	ἀπαναγκάζω	a)panagka/zw	v2spie---
κἀπαναγκάζει	ka)panagka/zei	ἀπαναγκάζω	a)panagka/zw	v3spia---
κἀπαναγκάζει	ka)panagka/zei	ἐπαναγκάζω	e)panagka/zw	v2spie---
κἀπαναγκάζει	ka)panagka/zei	ἐπαναγκάζω	e)panagka/zw	v3spia---
κἀπαναγκάζει	ka)panagka/zei	ἐπαναγκάζω	e)panagka/zw	v2spie---
κἀπαναγκάζει	ka)panagka/zei	ἐπαναγκάζω	e)panagka/zw	v3spia---
κἀπιθυμῶ	ka)piqumw=	ἐπιθυμέω	e)piqume/w	v1spsa---
κἀπιθυμῶ	ka)piqumw=	ἐπιθυμέω	e)piqume/w	v1spia---
κἀπιθυμῶ	ka)piqumw=	ἐπιθυμέω	e)piqume/w	v1spsa---
κἀπιθυμῶ	ka)piqumw=	ἐπιθυμέω	e)piqume/w	v1spia---
κἀποπαρδών	ka)popardw/n	ἀποπέρδομαι	a)pope/rdomai	v-sapamn-
κἀπέδοτο	ka)pe/doto	ἀποδίδωμι	a)podi/dwmi	v3saim---
κἀπέδοτο	ka)pe/doto	ἐπιδίδωμι	e)pidi/dwmi	v3saim---
κἀπό	ka)po/	ἀπό	a)po/	r--------
κἀργύριον	ka)rgu/rion	ἀργύριον	a)rgu/rion	n-s---nn-
κἀργύριον	ka)rgu/rion	ἀργύριον	a)rgu/rion	n-s---nv-
κἀργύριον	ka)rgu/rion	ἀργύριον	a)rgu/rion	n-s---na-
κἀς	ka)s	εἰς	ei)s	r--------
κἀστί	ka)sti/	εἰμί	ei)mi/	v3spia---
κἀστόν	ka)sto/n	ἀστός	a)sto/s	n-s---ma-
κἀστόν	ka)sto/n	εἰμί	ei)mi/	v2dpia---
κἀστόν	ka)sto/n	εἰμί	ei)mi/	v3dpia---
κἄγωγε	ka)/gwge	ἐγώ	e)gw/	p-s---mn-
κἄγωγε	ka)/gwge	ἐγώ	e)gw/	p-s---mv-
κἄγωγε	ka)/gwge	ἐγώ	e)gw/	p-s---fn-
κἄγωγε	ka)/gwge	ἐγώ	e)gw/	p-s---fv-
κἄλλοι	ka)/lloi	ἄλλος	a)/llos	n-p---mn-
κἄλλοι	ka)/lloi	ἄλλος	a)/llos	n-p---mv-
κἄν	ka)/n	κἀν	ka)n	c--------
κἄπειθ’	ka)/peiq'	ἄπειμι2	a)/peimi2	v3spia---
κἄπειθ’	ka)/peiq'	ἔπειμι2	e)/peimi2	v3spia---
κἄπειθ’	ka)/peiq'	ἔπειτα	e)/peita	d--------
κἄπειθ’	ka)/peiq'	πείθω	pei/qw	v3siia---
κἄπειτα	ka)/peita	ἔπειτα	e)/peita	d--------
κἄρτι	ka)/rti	ἄρτι	a)/rti	d--------
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fv-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fa-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-s---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-s---fv-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-p---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-p---fv-
κἄστ’	ka)/st'	ἀστός	a)sto/s	n-s---mv-
κἄστ’	ka)/st'	ἔστε	e)/ste	c--------
κἄστ’	ka)/st'	εἰμί	ei)mi/	v3spia---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v2ppia---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v2ppma---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v3sfim---
κάδω	ka/dw	κάδος	ka/dos	n-d---mn-
κάδω	ka/dw	κάδος	ka/dos	n-d---mv-
κάδω	ka/dw	κάδος	ka/dos	n-d---ma-
κάδω	ka/dw	κάδος	ka/dos	n-s---mg-
κάδω	ka/dw	κήδω	kh/dw	v1spsa---
κάδω	ka/dw	κήδω	kh/dw	v1spia---
κάθες	ka/qes	καθίημι	kaqi/hmi	v2sama---
κάθευδ’	ka/qeud'	καθεύδω	kaqeu/dw	v2spma---
κάθευδ’	ka/qeud'	καθεύδω	kaqeu/dw	v3siia---
κάκην	ka/khn	κάκη	ka/kh	n-s---fa-
κάκιστα	ka/kista	κακός	kako/s	a-p---nn-
κάκιστα	ka/kista	κακός	kako/s	a-p---nv-
κάκιστα	ka/kista	κακός	kako/s	a-p---na-
κάκιστε	ka/kiste	κακός	kako/s	a-s---mv-
κάλαθον	ka/laqon	κάλαθος	ka/laqos	n-s---ma-
κάλει	ka/lei	καλέω	kale/w	v2spma---
κάλει	ka/lei	καλέω	kale/w	v3siia---
κάλεσον	ka/leson	καλέω	kale/w	v2sama---
κάλλιον	ka/llion	κάλλιον	ka/llion	d--------
κάλλιον	ka/llion	καλός	kalo/s	a-s---mv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---fv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nn-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---na-
κάλλιστα	ka/llista	κάλλιστα	ka/llista	d--------
κάλλιστα	ka/llista	καλός	kalo/s	a-p---nn-
κάλλιστα	ka/llista	καλός	kalo/s	a-p---nv-
κάλλιστα	ka/llista	καλός	kalo/s	a-p---na-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---ma-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---nn-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---nv-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---na-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nn-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nv-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---na-
κάλλους	ka/llous	κάλλος	ka/llos	n-s---ng-
κάλυκος	ka/lukos	κάλυξ	ka/luc	n-s---fg-
κάμηλον	ka/mhlon	κάμηλος	ka/mhlos	n-s---ma-
κάμηλον	ka/mhlon	κάμηλος	ka/mhlos	n-s---fa-
κάπηλος	ka/phlos	κάπηλος	ka/phlos	n-s---mn-
κάπτεθ’	ka/pteq'	κάπτω	ka/ptw	v2ppma---
κάπτεθ’	ka/pteq'	κάπτω	ka/ptw	v2ppia---
κάπτεθ’	ka/pteq'	κάπτω	ka/ptw	v3spie---
κάπτεθ’	ka/pteq'	κάπτω	ka/ptw	v3siie---
κάπτεθ’	ka/pteq'	κάπτω	ka/ptw	v2piia---
κάρτα	ka/rta	κάρτα	ka/rta	d--------
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nn-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nv-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---na-
κάρφη	ka/rfh	κάρφη	ka/rfh	n-s---fn-
κάρφη	ka/rfh	κάρφη	ka/rfh	n-s---fv-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-p---nn-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-p---nv-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-p---na-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-d---nn-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-d---nv-
κάρφη	ka/rfh	κάρφος	ka/rfos	n-d---na-
κάτω	ka/tw	κάτος	ka/tos	n-d---mn-
κάτω	ka/tw	κάτος	ka/tos	n-d---mv-
κάτω	ka/tw	κάτος	ka/tos	n-d---ma-
κάτω	ka/tw	κάτος	ka/tos	n-d---fn-
κάτω	ka/tw	κάτος	ka/tos	n-d---fv-
κάτω	ka/tw	κάτος	ka/tos	n-d---fa-
κάτω	ka/tw	κάτος	ka/tos	n-d---nn-
κάτω	ka/tw	κάτος	ka/tos	n-d---nv-
κάτω	ka/tw	κάτος	ka/tos	n-d---na-
κάτω	ka/tw	κάτος	ka/tos	n-s---mg-
κάτω	ka/tw	κάτος	ka/tos	n-s---fg-
κάτω	ka/tw	κάτος	ka/tos	n-s---ng-
κάτω	ka/tw	κάτω	ka/tw	d--------
κάτω	ka/tw	κατόω	kato/w	v2spma---
κάτω	ka/tw	κατόω	kato/w	v3siia---
κάτωθεν	ka/twqen	κάτωθεν	ka/twqen	d--------
κάτωθεν	ka/twqen	κατόω	kato/w	v3paip---
κέλευέ	ke/leue/	κελεύω	keleu/w	v2spma---
κέλευέ	ke/leue/	κελεύω	keleu/w	v3siia---
κέρας	ke/ras	κέρας	ke/ras	n-s---nn-
κέρας	ke/ras	κέρας	ke/ras	n-s---nv-
κέρας	ke/ras	κέρας	ke/ras	n-s---na-
κέρατα	ke/rata	κέρας	ke/ras	n-p---nn-
κέρατα	ke/rata	κέρας	ke/ras	n-p---nv-
κέρατα	ke/rata	κέρας	ke/ras	n-p---na-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---nn-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---nv-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---na-
κέρματα	ke/rmata	κέρμα	ke/rma	n-p---nn-
κέρματα	ke/rmata	κέρμα	ke/rma	n-p---nv-
κέρματα	ke/rmata	κέρμα	ke/rma	n-p---na-
κέχηνας	ke/xhnas	χάσκω	xa/skw	v2sria---
κέχηνεν	ke/xhnen	χάσκω	xa/skw	v3sria---
κέχηνεν	ke/xhnen	χάσκω	xa/skw	v3plia---
κέχηνά	ke/xhna/	χάσκω	xa/skw	v1sria---
κήποις	kh/pois	κῆπος	kh=pos	n-p---md-
κήπους	kh/pous	κῆπος	kh=pos	n-p---ma-
κήρυκα	kh/ruka	κῆρυξ	kh=ruc	n-s---ma-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---nn-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---nv-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---na-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---mn-
κίνει	ki/nei	κινέω	kine/w	v2spma---
κίνει	ki/nei	κινέω	kine/w	v3siia---
κίττα	ki/tta	κίσσα	ki/ssa	n-d---fn-
κίττα	ki/tta	κίσσα	ki/ssa	n-d---fv-
κίττα	ki/tta	κίσσα	ki/ssa	n-d---fa-
κίττα	ki/tta	κίσσα	ki/ssa	n-s---fn-
κίττα	ki/tta	κίσσα	ki/ssa	n-s---fv-
κίττα	ki/tta	κιττάω	kitta/w	v2spma---
κίττα	ki/tta	κιττάω	kitta/w	v3siia---
κίχλας	ki/xlas	κίχλη	ki/xlh	n-p---fa-
κίχλας	ki/xlas	κίχλη	ki/xlh	n-s---fg-
κόθορνος	ko/qornos	κόθορνος	ko/qornos	n-s---mn-
κόκκυ	ko/kku	κόκκυ	ko/kku	x--------
κόκκυξ	ko/kkuc	κόκκυξ	ko/kkuc	n-s---mn-
κόκκυξ	ko/kkuc	κόκκυξ	ko/kkuc	n-s---mv-
κόλποις	ko/lpois	κόλπος	ko/lpos	n-p---md-
κόμην	ko/mhn	κόμη	ko/mh	n-s---fa-
κόμην	ko/mhn	κομάω	koma/w	v3piia---
κόμην	ko/mhn	κομάω	koma/w	v1siia---
κόπτε	ko/pte	κόπτω	ko/ptw	v2spma---
κόπτε	ko/pte	κόπτω	ko/ptw	v3siia---
κόπτειν	ko/ptein	κόπτω	ko/ptw	v--pna---
κόρακα	ko/raka	κόραξ	ko/rac	n-s---ma-
κόρακας	ko/rakas	κόραξ	ko/rac	n-p---ma-
κόρακες	ko/rakes	κόραξ	ko/rac	n-p---mn-
κόρακες	ko/rakes	κόραξ	ko/rac	n-p---mv-
κόρακ’	ko/rak'	κόραξ	ko/rac	n-s---ma-
κόρακ’	ko/rak'	κόραξ	ko/rac	n-s---md-
κόρακ’	ko/rak'	κόραξ	ko/rac	n-d---mn-
κόρακ’	ko/rak'	κόραξ	ko/rac	n-d---mv-
κόρακ’	ko/rak'	κόραξ	ko/rac	n-d---ma-
κόρακ’	ko/rak'	κόρακος	ko/rakos	n-s---mv-
κόραξ	ko/rac	κόραξ	ko/rac	n-s---mn-
κόραξ	ko/rac	κόραξ	ko/rac	n-s---mv-
κόραυνα	ko/rauna	κόραυνα	ko/rauna	n-s---fn-
κόραυνα	ko/rauna	κόραυνα	ko/rauna	n-s---fv-
κόρη	ko/rh	κόρη	ko/rh	n-s---fn-
κόρη	ko/rh	κόρη	ko/rh	n-s---fv-
κόρη	ko/rh	κόρις	ko/ris	n-d---mn-
κόρη	ko/rh	κόρις	ko/ris	n-d---mv-
κόρη	ko/rh	κόρις	ko/ris	n-d---ma-
κόρη	ko/rh	κορέω	kore/w	v2spma---
κόρη	ko/rh	κορέω	kore/w	v3siia---
κόρην	ko/rhn	κόρη	ko/rh	n-s---fa-
κόρης	ko/rhs	κόρη	ko/rh	n-s---fg-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mn-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mv-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mn-
κόρης	ko/rhs	κορέω	kore/w	v2siia---
κόσμῳ	ko/smw|	κόσμος	ko/smos	n-s---md-
κόψον	ko/yon	κόπτω	ko/ptw	v2sama---
κόψον	ko/yon	κόπτω	ko/ptw	v-sfpamv-
κόψον	ko/yon	κόπτω	ko/ptw	v-sfpann-
κόψον	ko/yon	κόπτω	ko/ptw	v-sfpanv-
κόψον	ko/yon	κόπτω	ko/ptw	v-sfpana-
κύκλιά	ku/klia/	κύκλιος	ku/klios	a-p---nn-
κύκλιά	ku/klia/	κύκλιος	ku/klios	a-p---nv-
κύκλιά	ku/klia/	κύκλιος	ku/klios	a-p---na-
κύκλιά	ku/klia/	κύκλιος	ku/klios	n-p---nn-
κύκλιά	ku/klia/	κύκλιος	ku/klios	n-p---nv-
κύκλιά	ku/klia/	κύκλιος	ku/klios	n-p---na-
κύκλον	ku/klon	κύκλος	ku/klos	n-s---ma-
κύκλος	ku/klos	κύκλος	ku/klos	n-s---mn-
κύκλου	ku/klou	κύκλος	ku/klos	n-s---mg-
κύκλου	ku/klou	κυκλόω	kuklo/w	v2spma---
κύκλου	ku/klou	κυκλόω	kuklo/w	v3siia---
κύκλωσαι	ku/klwsai	κυκλόω	kuklo/w	v2samm---
κύκλῳ	ku/klw|	κύκλος	ku/klos	n-s---md-
κύκνοι	ku/knoi	κύκνος	ku/knos	n-p---mn-
κύκνοι	ku/knoi	κύκνος	ku/knos	n-p---mv-
κύκνῳ	ku/knw|	κύκνος	ku/knos	n-s---md-
κύματά	ku/mata/	κῦμα	ku=ma	n-p---nn-
κύματά	ku/mata/	κῦμα	ku=ma	n-p---nv-
κύματά	ku/mata/	κῦμα	ku=ma	n-p---na-
κύμινδις	ku/mindis	κύμινδις	ku/mindis	n-s---fn-
κύρβεσιν	ku/rbesin	κύρβεις	ku/rbeis	n-p---fd-
κύρβεσιν	ku/rbesin	κύρβος	ku/rbos	n-p---nd-
κύρμα	ku/rma	κύρμα	ku/rma	n-s---nn-
κύρμα	ku/rma	κύρμα	ku/rma	n-s---nv-
κύρμα	ku/rma	κύρμα	ku/rma	n-s---na-
κύψαντες	ku/yantes	κύπτω	ku/ptw	v-papamn-
κύψαντες	ku/yantes	κύπτω	ku/ptw	v-papamv-
κύψας	ku/yas	κύπτω	ku/ptw	v-sapamn-
κύψας	ku/yas	κύπτω	ku/ptw	v-sapamv-
κύψας	ku/yas	κύπτω	ku/ptw	v2saia---
κᾆτα	ka)=|ta	εἶτα	ei)=ta	d--------
κᾆτι	ka)=|ti	εἶμι	ei)=mi	v3spia---
κᾆτά	ka)=|ta/	εἶτα	ei)=ta	d--------
κ’	k'	ἄν1	a)/n1	g--------
λαβεῖν	labei=n	λαμβάνω	lamba/nw	v--ana---
λαβοῦσα	labou=sa	λαμβάνω	lamba/nw	v-sapafn-
λαβοῦσα	labou=sa	λαμβάνω	lamba/nw	v-sapafv-
λαβέ	labe/	λαμβάνω	lamba/nw	v2sama---
λαβέτω	labe/tw	λαμβάνω	lamba/nw	v3sama---
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapamn-
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapamv-
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapama-
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapann-
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapanv-
λαβόντε	labo/nte	λαμβάνω	lamba/nw	v-dapana-
λαβόντες	labo/ntes	λαμβάνω	lamba/nw	v-papamn-
λαβόντες	labo/ntes	λαμβάνω	lamba/nw	v-papamv-
λαβών	labw/n	λαμβάνω	lamba/nw	v-sapamn-
λαθών	laqw/n	λανθάνω	lanqa/nw	v-sapamn-
λαιμούς	laimou/s	λαιμός	laimo/s	n-p---ma-
λακέρυζα	lake/ruza	λακέρυζα	lake/ruza	n-s---fn-
λακέρυζα	lake/ruza	λακέρυζα	lake/ruza	n-s---fv-
λαμβάνειν	lamba/nein	λαμβάνω	lamba/nw	v--pna---
λαμβάνετε	lamba/nete	λαμβάνω	lamba/nw	v2ppma---
λαμβάνετε	lamba/nete	λαμβάνω	lamba/nw	v2ppia---
λαμβάνετε	lamba/nete	λαμβάνω	lamba/nw	v2piia---
λαμπρά	lampra/	λαμπρός	lampro/s	a-p---nn-
λαμπρά	lampra/	λαμπρός	lampro/s	a-p---nv-
λαμπρά	lampra/	λαμπρός	lampro/s	a-p---na-
λαμπρά	lampra/	λαμπρός	lampro/s	a-d---fn-
λαμπρά	lampra/	λαμπρός	lampro/s	a-d---fv-
λαμπρά	lampra/	λαμπρός	lampro/s	a-d---fa-
λαμπρά	lampra/	λαμπρός	lampro/s	a-s---fn-
λαμπρά	lampra/	λαμπρός	lampro/s	a-s---fv-
λαρινόν	larino/n	λαρινός	larino/s	a-s---ma-
λαρινόν	larino/n	λαρινός	larino/s	a-s---nn-
λαρινόν	larino/n	λαρινός	larino/s	a-s---nv-
λαρινόν	larino/n	λαρινός	larino/s	a-s---na-
λαχόντες	laxo/ntes	λαγχάνω	lagxa/nw	v-papamn-
λαχόντες	laxo/ntes	λαγχάνω	lagxa/nw	v-papamv-
λαχών	laxw/n	λαγχάνω	lagxa/nw	v-sapamn-
λαῖτμα	lai=tma	λαῖτμα	lai=tma	n-s---nn-
λαῖτμα	lai=tma	λαῖτμα	lai=tma	n-s---nv-
λαῖτμα	lai=tma	λαῖτμα	lai=tma	n-s---na-
λεγόμενον	lego/menon	λέγω1	le/gw1	v-sppema-
λεγόμενον	lego/menon	λέγω1	le/gw1	v-sppenn-
λεγόμενον	lego/menon	λέγω1	le/gw1	v-sppenv-
λεγόμενον	lego/menon	λέγω1	le/gw1	v-sppena-
λεγόμενον	lego/menon	λέγω2	le/gw2	v-sppema-
λεγόμενον	lego/menon	λέγω2	le/gw2	v-sppenn-
λεγόμενον	lego/menon	λέγω2	le/gw2	v-sppenv-
λεγόμενον	lego/menon	λέγω2	le/gw2	v-sppena-
λεγόμενον	lego/menon	λέγω3	le/gw3	v-sppema-
λεγόμενον	lego/menon	λέγω3	le/gw3	v-sppenn-
λεγόμενον	lego/menon	λέγω3	le/gw3	v-sppenv-
λεγόμενον	lego/menon	λέγω3	le/gw3	v-sppena-
λειμώνων	leimw/nwn	λειμών	leimw/n	n-p---mg-
λειμῶνά	leimw=na/	λειμών	leimw/n	n-s---ma-
λεκτόν	lekto/n	λεκτός	lekto/s	a-s---ma-
λεκτόν	lekto/n	λεκτός	lekto/s	a-s---nn-
λεκτόν	lekto/n	λεκτός	lekto/s	a-s---nv-
λεκτόν	lekto/n	λεκτός	lekto/s	a-s---na-
λεκάναισι	leka/naisi	λεκάνη	leka/nh	n-p---fd-
λεκάνας	leka/nas	λεκάνη	leka/nh	n-p---fa-
λεκάνας	leka/nas	λεκάνη	leka/nh	n-s---fg-
λεκάνην	leka/nhn	λεκάνη	leka/nh	n-s---fa-
λελουμένον	leloume/non	λούω	lou/w	v-srpema-
λελουμένον	leloume/non	λούω	lou/w	v-srpenn-
λελουμένον	leloume/non	λούω	lou/w	v-srpenv-
λελουμένον	leloume/non	λούω	lou/w	v-srpena-
λεπτόν	lepto/n	λεπτόν	lepto/n	n-s---nn-
λεπτόν	lepto/n	λεπτόν	lepto/n	n-s---nv-
λεπτόν	lepto/n	λεπτόν	lepto/n	n-s---na-
λεπτόν	lepto/n	λεπτός	lepto/s	a-s---ma-
λεπτόν	lepto/n	λεπτός	lepto/s	a-s---nn-
λεπτόν	lepto/n	λεπτός	lepto/s	a-s---nv-
λεπτόν	lepto/n	λεπτός	lepto/s	a-s---na-
λεπτώ	leptw/	λεπτόν	lepto/n	n-d---nn-
λεπτώ	leptw/	λεπτόν	lepto/n	n-d---nv-
λεπτώ	leptw/	λεπτόν	lepto/n	n-d---na-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---mn-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---mv-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---ma-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---nn-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---nv-
λεπτώ	leptw/	λεπτός	lepto/s	a-d---na-
λευκά	leuka/	λευκάς	leuka/s	n-s---fv-
λευκά	leuka/	λευκόν	leuko/n	n-p---nn-
λευκά	leuka/	λευκόν	leuko/n	n-p---nv-
λευκά	leuka/	λευκόν	leuko/n	n-p---na-
λευκά	leuka/	λευκός	leuko/s	a-p---nn-
λευκά	leuka/	λευκός	leuko/s	a-p---nv-
λευκά	leuka/	λευκός	leuko/s	a-p---na-
λευκά	leuka/	λευκός	leuko/s	a-d---fn-
λευκά	leuka/	λευκός	leuko/s	a-d---fv-
λευκά	leuka/	λευκός	leuko/s	a-d---fa-
λευκά	leuka/	λευκός	leuko/s	a-s---fn-
λευκά	leuka/	λευκός	leuko/s	a-s---fv-
λευκήν	leukh/n	λευκός	leuko/s	a-s---fa-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---nn-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---nv-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---na-
λευκόν	leuko/n	λευκός	leuko/s	a-s---ma-
λευκόν	leuko/n	λευκός	leuko/s	a-s---nn-
λευκόν	leuko/n	λευκός	leuko/s	a-s---nv-
λευκόν	leuko/n	λευκός	leuko/s	a-s---na-
λευκότριχα	leuko/trixa	λευκόθριξ	leuko/qric	n-s---ma-
λευκότριχα	leuko/trixa	λευκόθριξ	leuko/qric	n-s---fa-
λευκότριχα	leuko/trixa	λευκότριχος	leuko/trixos	n-p---nn-
λευκότριχα	leuko/trixa	λευκότριχος	leuko/trixos	n-p---nv-
λευκότριχα	leuko/trixa	λευκότριχος	leuko/trixos	n-p---na-
λευκότροφα	leuko/trofa	λευκότροφος	leuko/trofos	n-p---nn-
λευκότροφα	leuko/trofa	λευκότροφος	leuko/trofos	n-p---nv-
λευκότροφα	leuko/trofa	λευκότροφος	leuko/trofos	n-p---na-
λεῴ	lew/|	λαός	lao/s	n-s---md-
ληδάριον	lhda/rion	ληδάριον	lhda/rion	n-s---nn-
ληδάριον	lhda/rion	ληδάριον	lhda/rion	n-s---nv-
ληδάριον	lhda/rion	ληδάριον	lhda/rion	n-s---na-
ληδάριόν	lhda/rio/n	ληδάριον	lhda/rion	n-s---nn-
ληδάριόν	lhda/rio/n	ληδάριον	lhda/rion	n-s---nv-
ληδάριόν	lhda/rio/n	ληδάριον	lhda/rion	n-s---na-
ληκύθῳ	lhku/qw|	λήκυθος	lh/kuqos	n-s---fd-
ληρεῖς	lhrei=s	ληρέω	lhre/w	v2spia---
ληφθεῖσα	lhfqei=sa	λαμβάνω	lamba/nw	v-sappfn-
ληφθεῖσα	lhfqei=sa	λαμβάνω	lamba/nw	v-sappfv-
λιγνύς	lignu/s	λιγνύς	lignu/s	n-p---fa-
λιγνύς	lignu/s	λιγνύς	lignu/s	n-s---fn-
λιγύφθογγος	ligu/fqoggos	λιγύφθογγος	ligu/fqoggos	n-s---mn-
λιγύφθογγος	ligu/fqoggos	λιγύφθογγος	ligu/fqoggos	n-s---fn-
λιθουργός	liqourgo/s	λιθουργός	liqourgo/s	a-s---mn-
λιθουργός	liqourgo/s	λιθουργός	liqourgo/s	n-s---mn-
